scaffold,mean_shap,effect
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1,0.000290529,positive
O=c1c(O[C@H]2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.000290529,positive
O=c1c(O[C@H]2CCC[C@@H](CO[C@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.000290529,positive
O=C1C=C[C@H]2CC3CCC[C@@H]3C/C=C\[C@@H]12,0.000290529,positive
O=C1C=C(c2ccccc2)C(Cc2ccccc2)O1,0.000290529,positive
O=c1cc(-c2ccccc2)oc2c([C@H]3CCCCO3)cc([C@H]3CCCCO3)cc12,0.000290529,positive
O=c1cc(-c2ccc3c(c2)OCO3)oc2ccccc12,0.000290529,positive
O=C1CC[C@@H](CC[C@H]2CCC3C4=CCCC[C@@H]4CCC32)O1,0.000290529,positive
O=C1Nc2cc3ccccc3c3cccc1c23,0.000290529,positive
c1ccc(-c2ccc(OC3CCCC4CCCC[C@H]43)cc2)cc1,0.000290529,positive
C=C1CCCC[C@H]2C=CC[C@H]12,0.000290529,positive
O=C1C=C[C@H](/C=C/CO[C@H]2CCCCO2)CC1,0.000290528,positive
O=c1cccc2c1c1cc[nH]c3ccc(=O)n2c31,0.000290528,positive
O=c1cc2c3ccccc3n3c(=O)ccc([nH]1)c23,0.000290528,positive
O=C1CC(=O)C2=C(C1)OCC2,0.000290525,positive
C=C1CCCCC1,0.000290515,positive
c1ncc2ncn([C@H]3CCCO3)c2n1,0.000290385,positive
C1=C[C@@H]2C[C@]3(C=CCC3C1)CC[C@H]1C[C@H]12,0.00028809,positive
C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3[C@@H]2C1,0.00028809,positive
O=C(OC1CCCCC1)C1CCC2CCC3C(=CC(=O)C4C3CC[C@H]3CCCCC43)[C@@H]2C1,0.00028809,positive
O=C1CC[C@H]2C3CC4CC[C@H](OCc5ccccc5)[C@@H]4CC3C[C@@H]12,0.000288089,positive
O=C1CC[C@]23C[C@]24CCC2C(CC[C@@H]2[C@@H]2COC[C@H]5OCO[C@@H]5C2)[C@@H]4CC[C@H]3C1,0.000288089,positive
C1=C2C3=CC[C@H]4CCCCC4[C@@H]3CCC2CC1,0.000288089,positive
C=C1C(=O)O[C@H]2CC[C@@H]3CCCC3C[C@H]12,0.000288089,positive
c1ccc2c(c1)ccc1ccccc12,0.000288089,positive
C1=CC2CC=C3Nc4ccccc4[C@@]34CCN(C1)[C@@H]24,0.000288089,positive
C1CC2CC[C@@]34C[C@@]35CCCC[C@@H]5CC[C@H]4C2C1,0.000288087,positive
c1ccc(-c2cc3ccccc3o2)cc1,0.000287276,positive
O=C1C=C([C@H]2C=C3C4CC5[C@@H]6C(CC[C@@H]5OC(=O)/C=C/c5ccccc5)CO[C@H]6[C@H]4O[C@@H]3C2)CO1,0.00028565,positive
C1=C2[C@@H]3Cc4ccccc4[C@@]2(CCC1)CCN3,0.00028565,positive
O=C1C=CC2[C@@H](CCC3C4=CC(=O)[C@@H](c5ccoc5)C4CC[C@@H]32)C1,0.00028565,positive
O=c1oc2cc3occc3cc2cc1-c1ccc2c(c1)OCO2,0.00028565,positive
O=C1C=CC[C@H](CC2CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.00028565,positive
O=C1C=C2CCCC3CCC(/C=C\2O1)O3,0.00028565,positive
c1ccc2c(c1)OC1c3ccccc3OCC21,0.00028565,positive
O=C1O[C@H]2[C@@H]3OC(=O)c4ccccc4-c4ccc5oc(=O)c6c(ccc7oc(=O)c4c5c76)-c4ccccc4C(=O)OC[C@H]3OC[C@@H]2OC(=O)c2ccccc2-c2ccccc21,0.00028565,positive
O=C1NC2CC[C@H]3CC4CCC[C@@H]4C/C=C/1[C@H]23,0.00028565,positive
O=c1ccc2cccc(/C=C/CCCc3cccc4ccc(=O)oc34)c2o1,0.00028565,positive
C1=C2C3CC4CCCC[C@@H]4C[C@H]3O[C@@H]2C[C@H]1c1ccoc1,0.00028565,positive
O=C1C=C[C@H]2CC3CC[C@]4(CCCO4)[C@@H]3CCC=C12,0.00028565,positive
C=C1CC[C@@H]2C[C@@H]2C=CC(=O)C2CC[C@H](OC(=O)/C=C/c3ccccc3)[C@@H]2C1,0.00028565,positive
C=C1CC[C@H]2CCCCC2[C@H]1C/C=C1\CC(=O)OC1=O,0.00028565,positive
O=c1cc(CCc2ccccc2)oc2c1[C@H]1C[C@@H](C2)Oc2cccc(CCc3coc4ccccc4c3=O)c21,0.00028565,positive
O=C1OCCCCCCCCc2ccccc21,0.00028565,positive
O=C1C=C([C@@H]2C[C@H]3O[C@]34C3C(=O)C[C@H]5COC(=O)C=CC5[C@H]3CCC24)C(=O)N1,0.00028565,positive
O=C(C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C=C1CCCCC1)C[C@]12CCCCC1O2,0.00028565,positive
O=C1CCC2[C@H](C1)CC(=O)C1=CCCC[C@@H]12,0.00028565,positive
C=C1C(=O)O[C@@H]2CC3CCCCC3=C[C@H]12,0.00028565,positive
O=C1CCC23Oc4cccc5c4[C@](CCC5=O)(Oc4cccc1c42)O3,0.00028565,positive
O=c1cc(CCc2ccccc2)oc2c1[C@H]1C[C@@H](C2)Oc2ccc3oc(CCc4ccccc4)cc(=O)c3c21,0.00028565,positive
O=C1CCC2[C@@H](CCC3C4CC(=O)C5CCCC[C@H]5C4=CC[C@@H]32)C1,0.00028565,positive
O=C(OC[C@]12[C@H]3OC4CC(O3)[C@@]1(O[C@H]1CCCCO1)C[C@@H]42)c1ccccc1,0.00028565,positive
c1ccc2c(c1)CCCC21Oc2cccc3cccc(c23)O1,0.00028565,positive
O=c1ccc2cc3c(cc2o1)OCC=C3,0.00028565,positive
C=C1CCCC2CCCC[C@@H]12,0.00028565,positive
O=C1C=CC(=O)c2c1ccc1ccccc21,0.00028565,positive
O=C1CCC[C@@H]2CC[C@H]3CCCCC3[C@@H]12,0.00028565,positive
c1ccc(-c2ccc3ccccc3[o+]2)cc1,0.00028565,positive
O=C(/C=C/c1ccccc1)NCCc1ccccc1,0.00028565,positive
c1ccc2c(c1)C[C@@H]1O[C@@H]1C21Oc2cccc3cccc(c23)O1,0.00028565,positive
