Index,Input_SMILES,canonical_smiles,Assessment
428,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,safety
495,Cc1cc(N2CCN(C)CC2)ccc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1,Cc1cc(N2CCN(C)CC2)ccc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1,safety
530,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,safety
536,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,safety
549,C[C@@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,C[C@@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,safety
553,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,safety
558,[O-]C(=C(C(=S)Nc1cccc2ccccc12)[n+]1ccccc1)c1ccc2c(c1)OCCO2,[O-]C(=C(C(=S)Nc1cccc2ccccc12)[n+]1ccccc1)c1ccc2c(c1)OCCO2,safety
566,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,safety
614,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,safety
620,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O,safety
631,CC(C)(C)[S@](=O)N1Cc2cc(C(=O)NCC(F)(F)F)nc(-c3cccc(-c4cccc(F)c4)c3)c2[C@@H]1CCO,CC(C)(C)[S@](=O)N1Cc2cc(C(=O)NCC(F)(F)F)nc(-c3cccc(-c4cccc(F)c4)c3)c2[C@@H]1CCO,safety
638,CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N(C(=O)c3ccccn3)[C@H]2C#N)cc1,CC(C)C#Cc1ccc([C@H]2[C@@H](CO)N(C(=O)c3ccccn3)[C@H]2C#N)cc1,safety
650,COc1cccc(C#Cc2ccc([C@@H]3[C@@H](CO)N(C(=O)C4CCOCC4)[C@H]3C#N)cc2)c1,COc1cccc(C#Cc2ccc([C@@H]3[C@@H](CO)N(C(=O)C4CCOCC4)[C@H]3C#N)cc2)c1,safety
651,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,safety
652,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@@H](CO)N1C(=O)C1CC1,safety
653,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@H](CO)N1C(=O)C1CC1,N#C[C@H]1[C@H](c2ccc(C#Cc3ccccc3F)cc2)[C@H](CO)N1C(=O)C1CC1,safety
655,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccc(F)cc3)cc2)[C@@H](CO)N1C(=O)C1CC1,N#C[C@@H]1[C@H](c2ccc(C#Cc3ccc(F)cc3)cc2)[C@@H](CO)N1C(=O)C1CC1,safety
665,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2cc(F)ccc2F)O1)NCc1ccc(Oc2ccccc2)cc1,O=C(C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2Cc2cc(F)ccc2F)O1)NCc1ccc(Oc2ccccc2)cc1,safety
669,O=C(Cc1ccccc1)N1CC[C@@H]2[C@H]1c1cc(-c3cccc(F)c3)ccc1N[C@@H]2CO,O=C(Cc1ccccc1)N1CC[C@@H]2[C@H]1c1cc(-c3cccc(F)c3)ccc1N[C@@H]2CO,safety
675,O=C(Nc1ccccc1F)N1CCCCN2[C@H](CO)[C@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,O=C(Nc1ccccc1F)N1CCCCN2[C@H](CO)[C@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,safety
676,COc1ccc(C#Cc2ccc([C@H]3[C@H]4CN(C(=O)c5ccncc5)CCCCN4[C@H]3CO)cc2)cc1,COc1ccc(C#Cc2ccc([C@H]3[C@H]4CN(C(=O)c5ccncc5)CCCCN4[C@H]3CO)cc2)cc1,safety
677,COc1ccc(C#Cc2ccc([C@@H]3[C@H](CO)N4CCCCN(C(=O)Nc5cccc(F)c5)C[C@@H]34)cc2)cc1,COc1ccc(C#Cc2ccc([C@@H]3[C@H](CO)N4CCCCN(C(=O)Nc5cccc(F)c5)C[C@@H]34)cc2)cc1,safety
678,O=C(Nc1ccc(F)cc1)N1CCCCN2[C@@H](CO)[C@@H](c3ccc(C#Cc4ccccc4)cc3)[C@@H]2C1,O=C(Nc1ccc(F)cc1)N1CCCCN2[C@@H](CO)[C@@H](c3ccc(C#Cc4ccccc4)cc3)[C@@H]2C1,safety
683,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,safety
695,O=C(Nc1ccc(C(F)(F)F)cc1)N1C[C@@H]2N[C@H](C1)C2c1ccc(-c2cccc(F)c2)cc1,O=C(Nc1ccc(C(F)(F)F)cc1)N1C[C@@H]2N[C@H](C1)C2c1ccc(-c2cccc(F)c2)cc1,safety
697,O=C(C1CCCC1)N1C[C@@H]2N[C@H](C1)C2c1ccc(/C=C/c2ccccc2)cc1,O=C(C1CCCC1)N1C[C@@H]2N[C@H](C1)C2c1ccc(/C=C/c2ccccc2)cc1,safety
699,Cc1cccc(-c2ccc(C3[C@@H]4CN(C(=O)Nc5ccc(C(F)(F)F)cc5)C[C@H]3N4)cc2)c1,Cc1cccc(-c2ccc(C3[C@@H]4CN(C(=O)Nc5ccc(C(F)(F)F)cc5)C[C@H]3N4)cc2)c1,safety
705,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,safety
710,Cc1ccccc1S(=O)(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@H]1CO,Cc1ccccc1S(=O)(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@H]1CO,safety
724,COc1ccc(NC(=O)N2C[C@@H]3N[C@H](C2)C3c2ccc(-c3ccc(OC)cc3)cc2)cc1,COc1ccc(NC(=O)N2C[C@@H]3N[C@H](C2)C3c2ccc(-c3ccc(OC)cc3)cc2)cc1,safety
728,COc1ccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCN2C(=O)C2CCC2)[C@H](CO)N3C)cc1,COc1ccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCN2C(=O)C2CCC2)[C@H](CO)N3C)cc1,safety
730,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,safety
733,COc1ccc2c3c(n(C)c2c1)[C@@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CN(Cc2ccccc2F)C1,COc1ccc2c3c(n(C)c2c1)[C@@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CN(Cc2ccccc2F)C1,safety
736,CC(C)NC(=O)N1CC(=O)N2[C@H](CO)[C@@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,CC(C)NC(=O)N1CC(=O)N2[C@H](CO)[C@@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,safety
739,N#C[C@H]1[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@H]1[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,safety
740,COc1ccc2c3c(n(C)c2c1)[C@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CCN(C(=O)Nc2ccc(F)cc2F)CC1,COc1ccc2c3c(n(C)c2c1)[C@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CCN(C(=O)Nc2ccc(F)cc2F)CC1,safety
765,Cc1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,Cc1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,safety
769,CC(=O)Nc1ccc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)cc1,CC(=O)Nc1ccc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)cc1,safety
771,COc1cc(OC)cc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)c1,COc1cc(OC)cc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)c1,safety
774,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(=O)[nH]2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(=O)[nH]2)nc1,safety
776,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(C#N)n2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(C#N)n2)nc1,safety
777,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cc(F)ccn2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cc(F)ccn2)nc1,safety
778,CC(=O)c1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,CC(=O)c1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,safety
784,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(F)n2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(F)n2)nc1,safety
788,Cc1cc(C)nc(Nc2ncc(C(=O)NCC(O)c3c(C)[nH]c4ccccc34)cn2)c1,Cc1cc(C)nc(Nc2ncc(C(=O)NCC(O)c3c(C)[nH]c4ccccc34)cn2)c1,safety
790,COc1cccc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)c1,COc1cccc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)c1,safety
794,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccc(F)cc34)cn2)c1,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccc(F)cc34)cn2)c1,safety
795,COc1ccccc1-c1ccc(C(=O)NCCc2c(C)[nH]c3ccccc23)cn1,COc1ccccc1-c1ccc(C(=O)NCCc2c(C)[nH]c3ccccc23)cn1,safety
797,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4c(F)cc(F)cc34)cn2)c1,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4c(F)cc(F)cc34)cn2)c1,safety
799,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(C(C)(C)C)n2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(C(C)(C)C)n2)nc1,safety
800,COc1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,COc1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,safety
801,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4c(Cl)cc(Cl)cc34)cn2)c1,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4c(Cl)cc(Cl)cc34)cn2)c1,safety
802,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccc(Cl)cc34)cn2)c1,Cc1cc(C)nc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccc(Cl)cc34)cn2)c1,safety
803,CCC(C)(O)c1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,CCC(C)(O)c1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,safety
831,CCc1nc2sc3c(O)cc(=O)[nH]c3c2cc1C,CCc1nc2sc3c(O)cc(=O)[nH]c3c2cc1C,safety
844,CC(C(=O)NCCCCOc1ccc(S(N)(=O)=O)cc1)c1cccc(C(=O)c2ccccc2)c1,CC(C(=O)NCCCCOc1ccc(S(N)(=O)=O)cc1)c1cccc(C(=O)c2ccccc2)c1,safety
857,COc1ccc2cc(C(C)C(=O)NCCCCOc3ccc(S(N)(=O)=O)cc3)ccc2c1,COc1ccc2cc(C(C)C(=O)NCCCCOc3ccc(S(N)(=O)=O)cc3)ccc2c1,safety
861,COc1ccc2c(c1)c(CC(=O)NCCCCOc1ccc(S(N)(=O)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)NCCCCOc1ccc(S(N)(=O)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,safety
865,CC(C(=O)NCCOc1ccc(S(N)(=O)=O)cc1)c1cccc(C(=O)c2ccccc2)c1,CC(C(=O)NCCOc1ccc(S(N)(=O)=O)cc1)c1cccc(C(=O)c2ccccc2)c1,safety
869,CC(C(=O)NCCc1ccc(S(N)(=O)=O)cc1)c1ccc(-c2ccccc2)c(F)c1,CC(C(=O)NCCc1ccc(S(N)(=O)=O)cc1)c1ccc(-c2ccccc2)c(F)c1,safety
872,COc1ccc2c(c1)c(CC(=O)NCCOc1ccc(S(N)(=O)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)NCCOc1ccc(S(N)(=O)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,safety
873,CC1=C(CC(=O)Nc2ccc(S(N)(=O)=O)cc2)c2cc(F)ccc2/C1=C/c1ccc(S(C)=O)cc1,CC1=C(CC(=O)Nc2ccc(S(N)(=O)=O)cc2)c2cc(F)ccc2/C1=C/c1ccc(S(C)=O)cc1,safety
874,COc1ccc2c(c1)c(CC(=O)NCCCOc1ccc(S(N)(=O)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)NCCCOc1ccc(S(N)(=O)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,safety
875,CC(C(=O)NCCc1ccc(S(N)(=O)=O)cc1)c1cccc(C(=O)c2ccccc2)c1,CC(C(=O)NCCc1ccc(S(N)(=O)=O)cc1)c1cccc(C(=O)c2ccccc2)c1,safety
876,CC(C)Cc1ccc(C(C)C(=O)NCCCCOc2ccc(S(N)(=O)=O)cc2)cc1,CC(C)Cc1ccc(C(C)C(=O)NCCCCOc2ccc(S(N)(=O)=O)cc2)cc1,safety
877,COc1ccc2cc(C(C)C(=O)NCCCOc3ccc(S(N)(=O)=O)cc3)ccc2c1,COc1ccc2cc(C(C)C(=O)NCCCOc3ccc(S(N)(=O)=O)cc3)ccc2c1,safety
943,Cc1c(Cl)cccc1N1C(=O)CC(N(O)c2ccccc2)C1=O,Cc1c(Cl)cccc1N1C(=O)CC(N(O)c2ccccc2)C1=O,safety
1089,CC12CCC3(CO)COC(c4ccccc4O1)C2C3,CC12CCC3(CO)COC(c4ccccc4O1)C2C3,safety
1125,COc1ccc(-n2nc3c(c2NC(=O)c2cc(Br)ccc2Cl)CS(=O)C3)cc1,COc1ccc(-n2nc3c(c2NC(=O)c2cc(Br)ccc2Cl)CS(=O)C3)cc1,safety
1164,COc1ccc(C2=NNC(c3cccs3)=Nc3ccc(OC)cc32)cc1,COc1ccc(C2=NNC(c3cccs3)=Nc3ccc(OC)cc32)cc1,safety
1222,CCS(=O)(=O)c1ccc2oc(Nc3ccc(C(C)C)cc3)nc2c1,CCS(=O)(=O)c1ccc2oc(Nc3ccc(C(C)C)cc3)nc2c1,safety
1277,COc1ccc(C(=O)C2(C)N(O)C(C)C(c3cccs3)=[N+]2[O-])cc1,COc1ccc(C(=O)C2(C)N(O)C(C)C(c3cccs3)=[N+]2[O-])cc1,safety
1279,CCCC(CCC)C(=O)NNc1cc(=O)c2c(=O)n(C)c(=O)n(C)c2[nH]1,CCCC(CCC)C(=O)NNc1cc(=O)c2c(=O)n(C)c(=O)n(C)c2[nH]1,safety
1292,COc1ccc(N/C=C/C(=O)c2ccc(C)cc2)c([N+](=O)[O-])c1,COc1ccc(N/C=C/C(=O)c2ccc(C)cc2)c([N+](=O)[O-])c1,safety
1299,COc1ccc(C(=O)/C=C/Nc2ccc([N+](=O)[O-])cc2C)c(OC)c1,COc1ccc(C(=O)/C=C/Nc2ccc([N+](=O)[O-])cc2C)c(OC)c1,safety
1307,CN(C)c1ccc(NC(=S)NC(=O)/C=C/c2ccc(Cl)cc2)cc1,CN(C)c1ccc(NC(=S)NC(=O)/C=C/c2ccc(Cl)cc2)cc1,safety
1316,CCCCOc1ccc2ccccc2c1C=O,CCCCOc1ccc2ccccc2c1C=O,safety
1318,N/C(Cc1ccc([N+](=O)[O-])cc1)=N\OC(=O)COc1ccc2ccccc2c1,N/C(Cc1ccc([N+](=O)[O-])cc1)=N\OC(=O)COc1ccc2ccccc2c1,safety
1326,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=S)Nc2ccccc2)cc1,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=S)Nc2ccccc2)cc1,safety
1352,Cn1cccc1/C=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,Cn1cccc1/C=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,safety
1354,CCOc1ccc(NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1,CCOc1ccc(NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1,safety
1362,O=C(Nc1cccs1)Nc1c(F)c(F)c(F)c(F)c1F,O=C(Nc1cccs1)Nc1c(F)c(F)c(F)c(F)c1F,safety
1387,O=C1c2cccc(OCC(=O)N3CCCc4ccccc43)c2CCN1Cc1ccc(Br)cc1,O=C1c2cccc(OCC(=O)N3CCCc4ccccc43)c2CCN1Cc1ccc(Br)cc1,safety
1434,CC(=O)c1ccc(NC(=S)N2CC(C)CC(C)C2)cc1,CC(=O)c1ccc(NC(=S)N2CC(C)CC(C)C2)cc1,safety
1464,COc1ccc(-c2nc3cnccn3c2NC(C)(C)CC(C)(C)C)cc1O,COc1ccc(-c2nc3cnccn3c2NC(C)(C)CC(C)(C)C)cc1O,safety
1474,CN1C(=O)S/C(=C\c2ccccc2OCc2ccc(C(=O)O)cc2)C1=O,CN1C(=O)S/C(=C\c2ccccc2OCc2ccc(C(=O)O)cc2)C1=O,safety
1514,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCC(=O)Nc1ccc(S(=O)(=O)N(C)C)cc1,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCC(=O)Nc1ccc(S(=O)(=O)N(C)C)cc1,safety
1515,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCC(=O)Nc1ccc(Cl)c(S(=O)(=O)N(C)C)c1,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCC(=O)Nc1ccc(Cl)c(S(=O)(=O)N(C)C)c1,safety
1522,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,safety
1536,O=C(C[C@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2Cc2cc(F)ccc2F)O1)NCc1ccc(Oc2ccccc2)cc1,O=C(C[C@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2Cc2cc(F)ccc2F)O1)NCc1ccc(Oc2ccccc2)cc1,safety
1540,N#Cc1cccc(-c2ccc(C3[C@@H]4CN(C(=O)Nc5ccc(C(F)(F)F)cc5)C[C@H]3N4)cc2)c1,N#Cc1cccc(-c2ccc(C3[C@@H]4CN(C(=O)Nc5ccc(C(F)(F)F)cc5)C[C@H]3N4)cc2)c1,safety
1547,CC1(C)C(=O)C=C[C@@]2(C)C1C=C[C@]1(C)C2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@]321,CC1(C)C(=O)C=C[C@@]2(C)C1C=C[C@]1(C)C2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@]321,safety
1599,Cc1ccccc1C(=O)Nc1cccc(NC(=O)c2ccc(-c3ccc(Br)cc3)o2)c1,Cc1ccccc1C(=O)Nc1cccc(NC(=O)c2ccc(-c3ccc(Br)cc3)o2)c1,safety
1619,CCOc1ccc(NC(=S)NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1,CCOc1ccc(NC(=S)NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1,safety
1642,COc1ccc2oc(=Nc3ccccc3)c(-c3nc4ccccc4[nH]3)cc2c1,COc1ccc2oc(=Nc3ccccc3)c(-c3nc4ccccc4[nH]3)cc2c1,safety
1644,COc1cc(NC(=O)C2=C(N3CCOCC3)/C(=C\c3ccc(Cl)cc3Cl)CC2)cc(OC)c1OC,COc1cc(NC(=O)C2=C(N3CCOCC3)/C(=C\c3ccc(Cl)cc3Cl)CC2)cc(OC)c1OC,safety
1649,O=C(Nc1nc(-c2ccccc2)cs1)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,O=C(Nc1nc(-c2ccccc2)cs1)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,safety
1655,COc1ccc(C(=O)Nc2ccc(Oc3nc(C)nc4sc(-c5ccccc5)cc34)cc2)cc1OC,COc1ccc(C(=O)Nc2ccc(Oc3nc(C)nc4sc(-c5ccccc5)cc34)cc2)cc1OC,safety
1704,COc1ccc(OC)c(N/C=C/C(=O)c2ccccc2)c1,COc1ccc(OC)c(N/C=C/C(=O)c2ccccc2)c1,safety
1732,Cc1cccc(N2CSC3=C(C#N)C(c4ccc(C)o4)CC(=O)N3C2)c1,Cc1cccc(N2CSC3=C(C#N)C(c4ccc(C)o4)CC(=O)N3C2)c1,safety
1747,COc1ccccc1N1CCN(C(=O)c2ccc3nc(-c4ccco4)c(-c4ccco4)nc3c2)CC1,COc1ccccc1N1CCN(C(=O)c2ccc3nc(-c4ccco4)c(-c4ccco4)nc3c2)CC1,safety
1777,O=C1c2ccccc2C(=O)N1c1ccc(-c2nc3ccccc3o2)cc1,O=C1c2ccccc2C(=O)N1c1ccc(-c2nc3ccccc3o2)cc1,safety
1778,CCc1cc2c(=O)c(Oc3ccccc3F)c(C)oc2c(CN(C)C)c1O,CCc1cc2c(=O)c(Oc3ccccc3F)c(C)oc2c(CN(C)C)c1O,safety
1804,CCOc1ccc(N2CSC3=C(C#N)C(c4ccco4)CC(=O)N3C2)cc1,CCOc1ccc(N2CSC3=C(C#N)C(c4ccco4)CC(=O)N3C2)cc1,safety
1808,CNC(=O)C1C(=S)NC(N)=C(C#N)C1c1ccccc1,CNC(=O)C1C(=S)NC(N)=C(C#N)C1c1ccccc1,safety
1822,CC(=O)Nc1ccc(OC(=O)c2cc3cc(Br)ccc3oc2=O)cc1,CC(=O)Nc1ccc(OC(=O)c2cc3cc(Br)ccc3oc2=O)cc1,safety
