ID,scaffold,mean_shap_full,mean_shap_test,mean_shap,effect_test
pos95,O=C(Nc1ccnn1-c1ccccc1)NC1CCC(Oc2ccc3nnc(N4CCNCC4)n3c2)c2ccccc21,0.001328368,0.001328368,0.001328368,positive
pos96,O=C1OCC=C1C1C=C2C(C1)OC1C2CC2C(OC(=O)c3ccccc3)CCC3COC1C32,0.001322261,0.001322261,0.001322261,positive
pos97,O=C(C=Cc1cccc(NC(=O)c2ccccc2)c1)NCCc1ccccc1,0.001313081,0.001313081,0.001313081,positive
pos98,C=C1C(=O)OC2C1CCC1CCC=CC12,0.001306316,0.001306316,0.001306316,positive
pos99,c1ccc(Sc2ccncn2)cc1,0.001304444,0.001304444,0.001304444,positive
pos100,O=C(OCC12C3OC4CC(O3)C1(OC1CCCCO1)CC42)c1ccccc1,0.001299642,0.001299642,0.001299642,positive
pos101,O=C(Nc1ccccc1)c1ccc2c(ccc3c4ccccc4[nH]c23)c1,0.001294578,0.001294578,0.001294578,positive
pos102,O=c1cc(-c2ccccc2)oc2c(NS(=O)(=O)c3cccs3)cccc12,0.001294057,0.001294057,0.001294057,positive
pos103,C1=CC2=CC3CC4C(CC5CC6(CCCCN6)OC54)CC3C2CC1,0.001289399,0.001289399,0.001289399,positive
pos104,C=C1C(=O)OC2C1CCCC13C=CC(C21)C1(C3)C(=O)OC2C3CCC4OC43CCCC21,0.001288721,0.001288721,0.001288721,positive
pos105,c1ccc(OC2CCC(OC3CCCCO3)CO2)cc1,0.001287765,0.001287765,0.001287765,positive
pos106,O=C(Cc1ccccc1)Nc1ccc(OC2CCCCC2)cc1,0.001284053,0.001284053,0.001284053,positive
pos107,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1coc2ccccc2c1=O,0.001279935,0.001279935,0.001279935,positive
pos108,O=c1[nH]c2cnc3cc(-c4cnoc4)c(OC4CCNC4)cc3c2n1Cc1ccccn1,0.001275239,0.001275239,0.001275239,positive
pos109,O=C(Cc1cn(C(=O)c2ccccc2)c2ccccc12)NCCCOc1ccccc1,0.001267379,0.001267379,0.001267379,positive
pos110,O=C1CCC2=CCC3C4CCCC4CC(=O)C3C2C1,0.001265315,0.001265315,0.001265315,positive
pos111,C(=NNc1ccnc(-c2ccccc2)n1)c1ccccc1,0.001256817,0.001256817,0.001256817,positive
pos112,O=C1C(=Cc2ccn(-c3ccccc3)c2)C(=O)c2ccccc21,0.001248459,0.001248459,0.001248459,positive
pos113,O=C(NN=Cc1ccccn1)c1ccccc1,0.001246717,0.001246717,0.001246717,positive
pos114,O=C(Cc1cn(C(=O)c2ccccc2)c2ccccc12)NCCOc1ccccc1,0.00124627,0.00124627,0.00124627,positive
pos115,O=C(OC1CCC2C(=O)CC=C3CC3CC=CCC12)c1ccccc1,0.001246188,0.001246188,0.001246188,positive
pos116,O=C(Nc1ccncc1)Nc1cc(-c2cccc(-c3cc(C(=O)NCCN4CCOCC4)cc(C(=O)NC4CC4)c3)c2)n[nH]c1=O,0.001245698,0.001245698,0.001245698,positive
pos117,C=c1cccc2c1=CC=C1C2CCC2C1CCC1CCCCC12,0.001245444,0.001245444,0.001245444,positive
pos118,O=C(CCc1ccccc1)c1ccccc1,0.001244751,0.001244751,0.001244751,positive
pos119,O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3,0.001244559,0.001244559,0.001244559,positive
pos120,O=C(OC(Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1cccc(OCc2ccccc2)c1,0.001244139,0.001244139,0.001244139,positive
pos121,C=C1CC2C(OC(=O)c3ccccc3)CCC2C(=O)CC=C2CC2CC1OC(=O)c1ccccc1,0.001243426,0.001243426,0.001243426,positive
pos122,O=C(C1CCOCC1)N1CC(c2ccc(C#Cc3ccccc3)cc2)C1,0.00123944,0.00123944,0.00123944,positive
pos123,O=C(C=Cc1ccco1)c1ccc(NC(=O)C23CC4CC(CC(C4)C2)C3)cc1,0.001236201,0.001236201,0.001236201,positive
pos124,O=C1OCC(Cc2ccc3c(c2)CCCO3)C1c1ccccc1,0.001234599,0.001234599,0.001234599,positive
pos125,O=C(C=Cc1ccccc1)Nc1ccccc1,0.001227796,0.001227796,0.001227796,positive
pos126,O=C(C=CCCc1ccccc1)C=Cc1ccccc1,0.001224652,0.001224652,0.001224652,positive
pos127,O=C(Nc1ccncc1)Nc1cc(-c2cccc(-c3cccc(C(=O)NCCN4CCCCC4)c3)c2)n[nH]c1=O,0.001223803,0.001223803,0.001223803,positive
pos128,O=C(NN=Cc1c[nH]c2ccccc12)c1ccc2ccccc2c1,0.001221412,0.001221412,0.001221412,positive
pos129,O=C(CCN1C(=O)C(=Cc2ccccc2)SC1=S)NNC(=O)c1ccccc1,0.001214793,0.001214793,0.001214793,positive
pos130,O=C(Cc1cn(C(=O)c2ccccc2)c2ccccc12)NCCCCOc1ccccc1,0.001213352,0.001213352,0.001213352,positive
pos131,O=C1c2ccc(Nc3ccccc3)cc2CCc2ccc(OCCC3COCO3)cc21,0.001203446,0.001203446,0.001203446,positive
pos132,O=C1CCCCCn2cc(-c3ccc(CN4CCNCC4)cc3)c3cnc(nc32)NCCCCN1,0.001201517,0.001201517,0.001201517,positive
pos133,C(=NNc1ccccc1)c1cn(-c2ccccc2)nc1-c1cccs1,0.001198082,0.001198082,0.001198082,positive
pos134,c1cc(-c2cc3c(o2)CCNC3)nc(Nc2ccc(OCCN3CCCC3)cc2)n1,0.001196431,0.001196431,0.001196431,positive
pos135,C(=Cc1ccccc1)CNc1ccc2c(c1)OCCO2,0.0011946,0.0011946,0.0011946,positive
pos136,O=C(Nc1ccccc1)Nc1nnc(C=Cc2ccccc2)s1,0.001194345,0.001194345,0.001194345,positive
pos137,O=C1c2ccc(Nc3ccccc3)cc2CCc2ccc(OCC3COCO3)cc21,0.001193919,0.001193919,0.001193919,positive
pos138,O=C1CC(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)CO1,0.001192468,0.001192468,0.001192468,positive
pos139,O=C(Nc1ccc(-c2nc3ncccc3o2)cc1)c1ccco1,0.001192231,0.001192231,0.001192231,positive
pos140,c1ccc(Cc2c(-c3ccccc3)cc3ccccn23)cc1,0.001189891,0.001189891,0.001189891,positive
pos141,S=c1[nH]nc(C2CCCCC2)n1N=Cc1ccccc1,0.001185043,0.001185043,0.001185043,positive
pos142,C(=NNc1ccncn1)c1ccn(-c2ccccc2)c1,0.00118378,0.00118378,0.00118378,positive
pos143,O=C(C1CC1)N1CC(c2ccc(C#Cc3ccccc3)cc2)C1,0.001183492,0.001183492,0.001183492,positive
pos144,O=C(Nc1ccc(N2CCCCC2)cc1)c1ccco1,0.001179297,0.001179297,0.001179297,positive
pos145,O=C(OC(Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1cccc(Oc2ccccc2)c1,0.001176059,0.001176059,0.001176059,positive
pos146,C(=Cc1nc2ccccc2s1)c1ccc(-c2ccccc2)o1,0.001175272,0.001175272,0.001175272,positive
pos147,O=C(C=Cc1ccsc1)c1ccco1,0.0011735,0.0011735,0.0011735,positive
pos148,O=C1C(=Cc2ccc(-c3ccccc3)o2)C=NN1c1ccccc1,0.001166604,0.001166604,0.001166604,positive
pos149,O=C1OC(C2=CCOC2=O)CC1=CC1OC2CCC=C3C(=O)OC1C32,0.001165851,0.001165851,0.001165851,positive
pos150,O=C(Nc1cccc(CN2CCSCC2)c1)c1ccc2c(c1)CN(c1cncnc1)CC2,0.001164777,0.001164777,0.001164777,positive
pos151,O=C1C=CC2=C(C1)OC(c1ccc3c(c1)OCO3)CC2,0.001156716,0.001156716,0.001156716,positive
