Index,Input_SMILES,canonical_smiles,Prob_LightGBM,Prob_RF,Prob_BiLSTM,Average_Probability,Prediction,Assessment
683,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,0.071280484,0.2325,0.004663188,0.102814557,non-carcinogen,safety
684,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,0.071280484,0.2325,0.004663188,0.102814557,non-carcinogen,safety
695,O=C(Nc1ccc(C(F)(F)F)cc1)N1C[C@@H]2N[C@H](C1)C2c1ccc(-c2cccc(F)c2)cc1,O=C(Nc1ccc(C(F)(F)F)cc1)N1C[C@@H]2N[C@H](C1)C2c1ccc(-c2cccc(F)c2)cc1,0.275384214,0.386666667,0.049370296,0.237140392,non-carcinogen,safety
697,O=C(C1CCCC1)N1C[C@@H]2N[C@H](C1)C2c1ccc(/C=C/c2ccccc2)cc1,O=C(C1CCCC1)N1C[C@@H]2N[C@H](C1)C2c1ccc(/C=C/c2ccccc2)cc1,0.284544495,0.325,0.229674041,0.279739512,non-carcinogen,safety
699,Cc1cccc(-c2ccc(C3[C@@H]4CN(C(=O)Nc5ccc(C(F)(F)F)cc5)C[C@H]3N4)cc2)c1,Cc1cccc(-c2ccc(C3[C@@H]4CN(C(=O)Nc5ccc(C(F)(F)F)cc5)C[C@H]3N4)cc2)c1,0.216985139,0.296666667,0.051317699,0.188323168,non-carcinogen,safety
705,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,0.071280484,0.2325,0.004663188,0.102814557,non-carcinogen,safety
710,Cc1ccccc1S(=O)(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@H]1CO,Cc1ccccc1S(=O)(=O)N1[C@H](C#N)[C@H](c2ccc(C#CC3CCCC3)cc2)[C@H]1CO,0.050233557,0.395,0.278270751,0.241168103,non-carcinogen,safety
714,N#C[C@H]1[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@H]1[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,0.071280484,0.2325,0.004663188,0.102814557,non-carcinogen,safety
724,COc1ccc(NC(=O)N2C[C@@H]3N[C@H](C2)C3c2ccc(-c3ccc(OC)cc3)cc2)cc1,COc1ccc(NC(=O)N2C[C@@H]3N[C@H](C2)C3c2ccc(-c3ccc(OC)cc3)cc2)cc1,0.206130544,0.17,0.045950446,0.140693663,non-carcinogen,safety
728,COc1ccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCN2C(=O)C2CCC2)[C@H](CO)N3C)cc1,COc1ccc(-c2ccc3c(c2)[C@@H]2[C@@H](CCN2C(=O)C2CCC2)[C@H](CO)N3C)cc1,0.035134169,0.27,0.014389698,0.106507956,non-carcinogen,safety
