Index,Input_SMILES,canonical_smiles,corrosion_prob,corrosion_label,irritation_prob,irritation_label,sensitization_prob,sensitization_label,Summary,Assessment
358,C=C(C)C(=O)CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,C=C(C)C(=O)CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,7.72E-05,0,0.03092433,0,0.999718904,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
374,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C(C)=C/C)C3)c1,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C(C)=C/C)C3)c1,7.49E-05,0,0.030295575,0,0.001863022,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
378,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/C=C/C)C3)c1,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/C=C/C)C3)c1,8.63E-05,0,0.040577427,0,0.000102494,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
400,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)CCCCC)C3)c1,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)CCCCC)C3)c1,0.000119002,0,0.040060349,0,0.000686649,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
403,C=C(C)C(=O)O[C@H]1C[C@@H](C)[C@@]2(O)CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,C=C(C)C(=O)O[C@H]1C[C@@H](C)[C@@]2(O)CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,0.000344299,0,0.026567927,0,1.67E-07,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
427,C=C(C)C(O)C(OCC)c1c(OC)ccc2ccc(=O)oc12,C=C(C)C(O)C(OCC)c1c(OC)ccc2ccc(=O)oc12,2.85E-05,0,0.061049253,0,0.00260793,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
428,C=C(C)C(O)CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,C=C(C)C(O)CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,4.14E-05,0,0.03250131,0,0.999382257,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
457,C=C(C)C(O)Cc1c(OC)cc(OC)c2ccc(=O)oc12,C=C(C)C(O)Cc1c(OC)cc(OC)c2ccc(=O)oc12,3.99E-05,0,0.050369803,0,0.99985832,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
481,C=C(C)Cc1c(OC)cc(OC)c2ccc(=O)oc12,C=C(C)Cc1c(OC)cc(OC)c2ccc(=O)oc12,4.51E-05,0,0.052976146,0,0.999998152,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
487,C=C(C)[C@@H](O)Cc1c(OC)ccc2ccc(=O)oc12,C=C(C)[C@@H](O)Cc1c(OC)ccc2ccc(=O)oc12,4.34E-05,0,0.061425887,0,0.270028025,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
495,C=C(C)[C@@H](O)[C@@H](OC)c1c(OC)ccc2ccc(=O)oc12,C=C(C)[C@@H](O)[C@@H](OC)c1c(OC)ccc2ccc(=O)oc12,4.00E-05,0,0.061048951,0,0.044571232,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
501,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]23C(=C)CC[C@@]3(C)[C@H](C)CC(=O)/C=C(\C)C(=O)O)[C@@]1(C)CCO[C]O,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]23C(=C)CC[C@@]3(C)[C@H](C)CC(=O)/C=C(\C)C(=O)O)[C@@]1(C)CCO[C]O,9.84E-05,0,0.039322972,0,0.796641946,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
517,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]3(C)[C@@H]([C@H](C)C[C@@H]4C[C@@H](C)C(=O)O4)CC[C@@]23C)[C@@]1(C)CCC(=O)OC,C=C(C)[C@@H]1CC=C2[C@@H](CC[C@]3(C)[C@@H]([C@H](C)C[C@@H]4C[C@@H](C)C(=O)O4)CC[C@@]23C)[C@@]1(C)CCC(=O)OC,0.000109658,0,0.03724077,0,2.44E-06,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
530,C=C(C)[C@@H]1CCC2[C@@H](CC=C3[C@@]2(C)CC[C@@]3(C)[C@H](C)C[C@@H]2C[C@@H](C)C(=O)O2)[C@@]1(C)CCC(=O)OC,C=C(C)[C@@H]1CCC2[C@@H](CC=C3[C@@]2(C)CC[C@@]3(C)[C@H](C)C[C@@H]2C[C@@H](C)C(=O)O2)[C@@]1(C)CCC(=O)OC,0.000109658,0,0.03724077,0,4.10E-07,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
536,C=C(C)[C@H](O)[C@@H](CC(C)(O)/C=C/c1c(OC)ccc2ccc(=O)oc12)c1c(OC)ccc2ccc(=O)oc12,C=C(C)[C@H](O)[C@@H](CC(C)(O)/C=C/c1c(OC)ccc2ccc(=O)oc12)c1c(OC)ccc2ccc(=O)oc12,0.000127906,0,0.020563994,0,2.26E-07,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
549,C=C(C)[C@H](O)[C@H](CC(C)(O)/C=C/c1c(OC)ccc2ccc(=O)oc12)c1c(OC)ccc2ccc(=O)oc12,C=C(C)[C@H](O)[C@H](CC(C)(O)/C=C/c1c(OC)ccc2ccc(=O)oc12)c1c(OC)ccc2ccc(=O)oc12,0.000127906,0,0.020563994,0,1.15E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
550,C=C(C)[C@H](O)[C@H](OCC)c1c(OC)cc(OC)c2ccc(=O)oc12,C=C(C)[C@H](O)[C@H](OCC)c1c(OC)cc(OC)c2ccc(=O)oc12,3.45E-05,0,0.057782151,0,3.01E-06,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
553,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,1.49E-05,0,0.054978289,0,0.000271042,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
