scaffold,mean_shap,effect
c1ccc(-c2ccccc2O[C@H]2CC[C@@H]3CCC4CCC[C@]32C4)cc1,0.0019299848,positive
c1ccc(-c2ccccc2O[C@@]23CCCC(CC[C@H]4CC[C@@H]42)C3)cc1,0.0019280356,positive
O=C1C=CCC(CC2CC[C@@H]3C2CCC2C3C[C@H]3O[C@]34CC=CC(=O)C24)O1,0.0019225343,positive
O=C(Nc1ccnn1-c1cc[nH]n1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0019193966,positive
O=C(C=C/C=C/C=C/C=C/C=C/C=C/C=C/C=C=C1CCCCC1)C[C@]12CCCCC1O2,0.0019164879,positive
O=C(/C=C/c1ccc2c(c1)OCO2)c1ccc2c(c1)C=CCO2,0.0019078741,positive
O=C1C=C([C@@H]2CC=C3C4C[C@@H]5OCC6CCCC([C@H]4CCC32)[C@H]65)CO1,0.0019054919,positive
C=C1CC23CC[C@@H]4CCCCC4[C@@H]2CC[C@H]1C3,0.00190435,positive
O=C(/C=C\c1ccccc1)NCCc1ccccc1,0.001901561,positive
O=C(O[C@H]1C2C3=C[C@H](c4ccoc4)C[C@@H]3OCC[C@@H]2C2CCCC3CO[C@@H]1[C@@H]32)c1ccccc1,0.0019011361,positive
O=C(/C=C/c1ccco1)NC(=S)Nc1ccc2c(c1)oc1ccccc12,0.0019005069,positive
O=c1ccc([C@H]2CCC3C4CCC5=C[C@@H](O[C@H]6CCCCO6)CCC5C4CCC32)co1,0.0018964407,positive
O=c1ccc2c3c(ccc2o1)C=CCO3,0.0018890366,positive
O=C1C=C(CCC2CCCC3[C@@H]2CCC[C@]32CO2)CO1,0.0018854832,positive
O=C1C=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3C[C@@H](O[C@H]4OCCC[C@H]4O[C@H]4CCCCO4)CCC3[C@@H]12,0.0018780169,positive
O=C1/C(=C/c2ccccc2)SC(=S)N1Nc1ccccc1,0.0018723302,positive
O=C1CC2CC[C@@]34O[C@@]3(C=CC3CCCCC34)[C@@H]2C1,0.0018720487,positive
O=C(/C=C/c1ccccc1)NC(=S)NNC(=O)[C@H]1C[C@@H]1c1ccccc1,0.0018716159,positive
O=c1cc(-c2ccccc2)oc2c3c(ccc12)OCC=C3,0.0018663472,positive
C=C1CCCC[C@@H]2CC=C[C@@H]12,0.0018646024,positive
O=C(Nc1ccnn1-c1ccnnc1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0018642675,positive
O=C1C=CC(CCC2CC=C3C4=CC[C@H]5CCCCC5[C@@H]4CCC32)O1,0.0018530375,positive
C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CC(OC5CCCCO5)CCO4)CCC3C2C1,0.0018529489,positive
c1ccc(Cc2cccc3c2CCc2cc4c(cc2-3)C[C@H](c2ccccc2)O4)cc1,0.0018516269,positive
O=C1C=C([C@H]2C=C3C4CC5CCCC6C(=O)O[C@H]([C@H]56)[C@H]4O[C@@H]3C2)CO1,0.0018509679,positive
C1=C2C3CC4CCCC5CO[C@H]([C@@H]54)[C@H]3O[C@@H]2C[C@H]1c1ccoc1,0.0018500396,positive
O=C1C=CC2C(=C1)CC[C@@H]1C2C(=O)CC2CCC[C@H]21,0.0018476998,positive
O=C(/C=C/c1ccccc1)O[C@H]1CCC2CO[C@@H]3[C@@H]2C1CC1C2=C[C@H](C4=CCOC4=O)C[C@H]2O[C@@H]13,0.0018469254,positive
C1=C2CC(OC3OCC(O[C@H]4CCC(O[C@H]5CCCCO5)CO4)C[C@@H]3O[C@H]3CCCCO3)CCC2[C@H]2CCC3c4cc(CCCCOC5CCCCO5)oc4C[C@H]3[C@@H]2C1,0.0018453385,positive
O=C(O[C@H]1CCC[C@@H]2C[C@H]3O[C@@H]4C[C@@H](c5ccoc5)C=C4C3CC21)c1ccccc1,0.0018417987,positive
O=C(/C=C/c1ccc(-c2ccccc2)o1)Nc1ncc(Cc2ccccc2)s1,0.0018403631,positive
c1cc2c(o1)C[C@@H]1C3CCCCC3CC[C@H]1C2,0.0018397123,positive
O=C(/C=C/c1ccccc1)O[C@H]1CC(=O)C2[C@@H](CCC3C4=CCC5CCCC[C@H]5C4CC[C@@H]32)C1,0.0018276575,positive
O=C1CC2CC[C@H]3C(=CC(=O)C4=CCCCC43)[C@@H]2C1,0.0018264956,positive
C1CC2=C3C[C@@H]4O[C@@]45CCCCC5[C@H]3CCC2C1,0.0018221581,positive
O=C(O[C@H]1CCCCO1)[C@]12CCCC[C@H]1C1=CC[C@H]3C(CC[C@H]4CCCCC43)C1CC2,0.0018195678,positive
O=C(Nc1ccnn1-c1cnn(CCN2CCCCC2)c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0018147414,positive
O=C(C=Cc1ccc(CNC(=O)C(=O)Nc2ccccc2)o1)NCc1cccnc1,0.0018076855,positive
C(=C/[C@@]12Oc3ccccc3C(Oc3ccccc31)[C@H]2Cc1ccccc1)\c1ccccc1,0.0018074843,positive
C1=C2CCCC3OC4(CCC5CCCC5=C4C1)O[C@H]23,0.0018067068,positive
O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,0.001806194,positive
O=C(/C=C/c1ccccc1)c1ccc2occc2c1,0.0018052178,positive
c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,0.0018001238,positive
O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0017994135,positive
O=C(CCc1ccccc1)c1ccc2c(c1)C=CCO2,0.001798864,positive
O=C1C=C2C3CC4CCCC5C(=O)O[C@H]([C@H]45)[C@H]3O[C@@H]2C1,0.0017916616,positive
C=C1CCCC[C@H]1C/C=C1\CCOC1=O,0.0017911181,positive
c1ccc(CCc2ccccc2C[C@@H]2c3cc4c(cc3O[C@H]2c2ccccc2)-c2ccccc2CC4)cc1,0.0017872041,positive
N=C1/C(=C/c2ccco2)C(=O)N=C2SC=CN12,0.0017851058,positive
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C(OC(=O)c3ccco3)CC[C@H]21,0.0017838338,positive
c1ccc(-c2ccc(OC3CCCC4CCCC[C@H]43)cc2)cc1,0.0017835697,positive
O=C(Nc1ccnn1-c1cccc(OCCN2CCOCC2)c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(C4CCCCC4)n3c2)c2ccccc21,0.0017828002,positive
O=C1C=Cc2ccccc2C1=O,0.001777934,positive
C=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccccc1,0.0017766966,positive
c1cc(C2OCC3C(c4ccc(O[C@H]5CCCCO5)cc4)OCC23)ccc1O[C@H]1CCCCO1,0.0017737595,positive
O=C1C=C([C@H]2C=C3C4CC5[C@@H]6C(CC[C@@H]5OC(=O)/C=C/c5ccccc5)CO[C@H]6[C@H]4O[C@@H]3C2)CO1,0.0017711903,positive
O=C1N[C@@H]2CC[C@H]3CC4CCC/C4=C/C=C/1[C@@H]32,0.0017682405,positive
O=c1c(-c2cccc([C@@H](/C=C/c3ccccc3)c3ccccc3)c2)coc2ccccc12,0.0017655899,positive
O=c1c(-c2ccccc2)coc2cc(O[C@H]3CCCCO3)ccc12,0.0017647301,positive
O=C1CCC2c3ccccc3CC[C@]23OC13,0.0017639288,positive
O=C1C=CC[C@H](CC2=CCC3C2CC[C@@H]2C4C(=O)C=CC[C@]45O[C@@H]5C[C@@H]32)O1,0.0017622428,positive
C1CC2CCC3C(CC[C@H]4CCCCC34)C2C1,0.001759321,positive
S=c1c(C=Nc2ccccc2)c[nH]n1-c1ccccc1,0.001751767,positive
O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,0.0017481936,positive
O=C1C=C2CCCCC2[C@H]2CCC3CCCC3C12,0.0017478855,positive
C1=C\[C@H]2CCC[C@H]2CC2CCC[C@@H]2C/1,0.0017468538,positive
O=C(O[C@H]1CCCCO1)[C@]12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,0.0017467468,positive
C(=C/c1nc2ccccc2[nH]1)\c1ccccc1,0.0017397944,positive
O=C(NC1CCNCC1)c1ccc(-c2cc[nH]c(=O)c2)nc1,0.0017366677,positive
c1ccc(CCc2ccccc2C[C@@H]2c3cc4c(cc3O[C@H]2c2ccccc2)CCc2ccccc2-4)cc1,0.0017349347,positive
c1ccc([C@@H]2C[C@@H](c3cccc4c3O[C@H](c3ccccc3)CC4)c3ccccc3O2)cc1,0.0017345985,positive
O=C1NC(=S)S/C1=C\C=C\c1ccco1,0.0017341464,positive
O=C1C=C[C@H]2CC3CCC[C@@H]3C/C=C\[C@H]12,0.0017333332,positive
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3C[C@@H](O[C@@H]4OCCC[C@H]4O[C@H]4CCCCO4)CCC3[C@H]2C1,0.0017315336,positive
C1CC2CC[C@]34CC[C@H](CC[C@H]3C[C@@H]2C1)C4,0.001731053,positive
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C3OCO[C@@H]3C[C@H]21,0.0017264911,positive
c1ccc(-c2ccccc2OC2CCCC3CCCC[C@H]32)cc1,0.0017260484,positive
O=C(N/N=C\c1ccccc1)c1ccc(-c2ccccc2)cc1,0.0017239708,positive
O=C1CCC2=C1/C=C\C[C@H]1CCCC1C2,0.001723414,positive
c1cc(C2CCC3C2CCC2C4CCCCC4CCC23)[nH]n1,0.0017188448,positive
C=C1CC[C@H]2CCCCC2[C@H]1/C=C/C1=CC(=O)OC1,0.0017171954,positive
O=C1C2C3CCCC3CC[C@@H]2C2CCCC[C@@]23O[C@@H]13,0.0017099085,positive
C1CC2CC[C@@]34O[C@@]3(C[C@@H]3O[C@@]35CCCCC45)C2C1,0.0017062805,positive
O=C1CCC[C@@H]2CCC3=CCCC[C@@H]3C12,0.0017060519,positive
O=C(Nc1ccccc1)/C(=C/c1ccccc1)c1nc2ccccc2s1,0.0017049569,positive
