Unnamed: 0,np_id,InChI,InChIKey,canonical_smiles,lipinski_rule_of_five_violations,sa_score
1520,NPC280347,"InChI=1S/C16H24O/c1-2-3-4-5-6-7-8-9-10-15-11-13-16(17)14-12-15/h7-8,11-14,17H,2-6,9-10H2,1H3/b8-7+",RQVUFITWWLNDGP-BQYQJAHWSA-N,CCCCCC/C=C/CCc1ccc(O)cc1,0,1.9747862050744658
1544,NPC181526,"InChI=1S/C7H7NO3/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,9H,8H2,(H,10,11)",IQGMRVWUTCYCST-UHFFFAOYSA-N,Nc1cccc(C(=O)O)c1O,0,1.9306671797985544
1576,NPC45012,"InChI=1S/C22H44O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23/h9-10,23H,2-8,11-22H2,1H3",CFOQKXQWGLAKSK-UHFFFAOYSA-N,CCCCCCCCC=CCCCCCCCCCCCCO,1,1.9867697296122788
1641,NPC289459,"InChI=1S/C17H16O4/c1-20-16-11-13(7-9-15(16)18)8-10-17(19)21-12-14-5-3-2-4-6-14/h2-11,18H,12H2,1H3/b10-8+",DZAPHTCUSDTZAT-CSKARUKUSA-N,COc1cc(/C=C/C(=O)OCc2ccccc2)ccc1O,0,1.8077536204321696
1705,NPC115084,"InChI=1S/C13H12O3/c14-11-5-1-9(2-6-11)13(16)10-3-7-12(15)8-4-10/h1-8,13-16H",CIDJXBNFIKRPHX-UHFFFAOYSA-N,Oc1ccc(C(O)c2ccc(O)cc2)cc1,0,1.7874464222530921
1708,NPC186811,"InChI=1S/C14H28/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h9,11H,3-8,10,12-14H2,1-2H3/b11-9+",SNIFAVVHRQZYGO-PKNBQFBNSA-N,CCCC/C=C/CCCCCCCC,1,1.956416739538291
1709,NPC156139,"InChI=1S/C15H14O3/c16-12-7-8-13(15(18)10-12)14(17)9-6-11-4-2-1-3-5-11/h1-5,7-8,10,16,18H,6,9H2",ZUKLXLKVCGZHAA-UHFFFAOYSA-N,O=C(CCc1ccccc1)c1ccc(O)cc1O,0,1.7527086386615984
1725,NPC92111,"InChI=1S/C13H18N2O/c1-15(2)7-6-10-9-14-13-5-4-11(16-3)8-12(10)13/h4-5,8-9,14H,6-7H2,1-3H3",ZSTKHSQDNIGFLM-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C)C)c2c1,0,1.9536377061175614
1785,NPC119669,"InChI=1S/C12H15NO3/c1-13-5-4-8-6-10(15-2)11(16-3)7-9(8)12(13)14/h6-7H,4-5H2,1-3H3",BDIZBBGNYDRCCA-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)N(C)CC2,0,1.9812061676560244
1820,NPC27584,InChI=1S/C14H28/c1-2-4-6-8-10-12-14-13-11-9-7-5-3-1/h1-14H2,KATXJJSCAPBIOB-UHFFFAOYSA-N,C1CCCCCCCCCCCCC1,1,1.0
1856,NPC104070,"InChI=1S/C10H13N/c1-11-7-6-9-4-2-3-5-10(9)8-11/h2-5H,6-8H2,1H3",KYXSVGVQGFPNRQ-UHFFFAOYSA-N,CN1CCc2ccccc2C1,0,1.7169887978356897
1920,NPC105127,"InChI=1S/C9H10N2/c10-5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5,10H2",JXYGLMATGAAIBU-UHFFFAOYSA-N,NCc1c[nH]c2ccccc12,0,1.8405787016818458
1934,NPC104195,"InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)",GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(=O)O,0,1.9523258489675186
1964,NPC63010,"InChI=1S/C12H12O2/c1-8-6-9-4-3-5-11(14-2)12(9)10(13)7-8/h3-7,13H,1-2H3",IJJNDUUHBYEDNU-UHFFFAOYSA-N,COc1cccc2cc(C)cc(O)c12,0,1.8832723016684696
2063,NPC474933,"InChI=1S/C16H18O3/c1-18-15-9-13(10-16(11-15)19-2)4-3-12-5-7-14(17)8-6-12/h5-11,17H,3-4H2,1-2H3",WOOTZIKTRHIJPN-UHFFFAOYSA-N,COc1cc(CCc2ccc(O)cc2)cc(OC)c1,0,1.7376489435245173
2074,NPC219945,"InChI=1S/C18H18/c1-12(2)14-7-10-17-15(11-14)8-9-16-13(3)5-4-6-18(16)17/h4-12H,1-3H3",NXLOLUFNDSBYTP-UHFFFAOYSA-N,Cc1cccc2c1ccc1cc(C(C)C)ccc12,1,1.7830697246344496
2111,NPC299039,"InChI=1S/C10H13Br/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7H,1-3H3",XHCAGOVGSDHHNP-UHFFFAOYSA-N,CC(C)(C)c1ccc(Br)cc1,0,1.5227451638834353
