,canonical_smiles
8833,CCc1ccc(C(=O)CSc2ncn[nH]2)cc1
4172,Cc1ccnc(NC(=O)Cc2ccc(-c3ccccc3)cc2)c1
5930,COc1ccc(C(C(=O)NC2CCCCC2)N(CC2CCCO2)C(=O)CNC(=O)c2ccco2)cc1
12961,COc1cccc(C(C(=O)NC2CCCCC2)N(CC2CCCO2)C(=O)CNC(=O)c2ccco2)c1
5561,CCOc1ccc(S(=O)(=O)N(CC)CC)cc1NC(=O)c1ccc(N2CCCC2=O)cc1
10562,NC1=NC2(CCN(Cc3ccccc3)CC2)n2c(nc3ccccc32)N1
10044,Cc1cccc(Cn2c(Sc3nc(C)cs3)nc3c2c(=O)[nH]c(=O)n3C)c1
10268,Cc1csc(Sc2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccccc2Cl)n1
8911,COCCN(C(=O)CCC(=O)Nc1ccccn1)C(C(=O)NCCC(C)C)c1ccc(OC)cc1
15010,CC1=C([C@@H](C)[C@@H](C)OC=O)C(=O)C2=C(C1=O)[C@H]1O[C@@H](C)[C@H](C)c3c(C)c(O)cc(c31)O2
12596,CCN(C(=O)Cn1c(=O)oc2ccccc21)C1CCS(=O)(=O)C1
11092,O=C1c2ccccc2S(=O)(=O)N1Cc1cc(=O)n2ccsc2n1
2370,COc1ccc(/C=C2/SC(=O)N(CCC(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)C2=O)cc1
10873,COC(=O)c1c(NC(=O)CSc2nnnn2-c2ccccc2)sc2c1CCCC2
6086,O=C1CC(c2ccco2)=Nc2ccccc2N1
3031,O=C(Nc1cccc2[nH]ncc12)c1ccc(F)cc1
1339,CCCCOc1ccc(-c2nnn(C(C)C(=O)OCC)n2)cc1
6151,COC(=O)CCn1nnc(-c2ccc(C(C)C)cc2)n1
6215,CCOC(=O)Cn1nnc(-c2ccc(SC)cc2)n1
6536,CCOC(=O)Cn1nnc(-c2ccc(OCC(C)C)cc2)n1
7701,COc1ccccc1-c1nnn(CC#N)n1
8005,CCc1ccc(-c2nn[nH]n2)cc1
8043,CCOc1ccc(-c2nn[nH]n2)cc1
8163,CCc1ccc(-c2nnn(CCC(=O)OC)n2)cc1
9077,N/C(Cn1nnc(-c2ccccc2)n1)=N\O
9840,CCCOc1ccc(-c2nnn(CC(=O)OCC)n2)cc1
10778,Cc1ccc(-c2nn[nH]n2)cc1
6360,O=C(Cn1nnc(-c2ccncc2)n1)N1CCc2ccccc21
11682,CC1=CC(C)(C)n2c(O)c(N=NC(N)=S)c3cccc1c32
11713,COc1cc2c3c(c1)c(N=NC(N)=S)c(O)n3C(C)(C)C=C2C
