ID,scaffold_smiles,mean_shap,effect,tsne_x,tsne_y
Train: Pos 112,O=C(Nc1ccccc1)c1cccc(CNCC2CCNC(=O)c3[nH]c4ccccc4c3-c3ccccc3CO2)c1,0.001791773,positive,49.300037,-11.707941
Train: Pos 113,O=c1ccc2ccc(OC3CCCCO3)cc2o1,0.001791104,positive,27.92536,26.447765
Train: Pos 114,O=C1CCC2c3ccccc3CCC23OC13,0.001790442,positive,7.080244,43.700478
Train: Pos 115,C(=CC12Oc3ccccc3C(Oc3ccccc31)C2Cc1ccccc1)c1ccccc1,0.001788424,positive,14.894324,-2.670291
Train: Pos 116,O=C1OC2CCC3CC4CCCC4CC=C1C32,0.001787645,positive,4.7140975,41.578655
Train: Pos 117,C1=C2C(CCC3C2CCC2CCCCC23)C(c2ccoc2)C1,0.001786816,positive,15.587164,31.000977
Train: Pos 118,C1=C2CCC3CCCCC3C2CCC1,0.001781813,positive,10.374586,26.822617
Train: Pos 119,O=C1CCC2CCCCC2C1,0.00178177,positive,7.206459,26.71781
Train: Pos 120,C1COCC(C2CCC3C2CCC24CC25CCCCC5CCC34)C1,0.001781119,positive,15.863473,27.406252
Train: Pos 121,O=C(C=Cc1ccccc1)NCCc1ccccc1,0.001778387,positive,22.88247,-13.178364
Train: Pos 122,O=C1CCC(c2ccc(OCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001776745,positive,-12.446401,57.677525
Train: Pos 123,O=c1c(-c2cccc(C(C=Cc3ccccc3)c3ccccc3)c2)coc2ccccc12,0.001775587,positive,-22.470406,25.493483
Train: Pos 124,O=C(NN=Cc1ccccc1)C12CC3CCC(CC(C3)C1)C2,0.001773688,positive,-30.635572,-37.626995
Train: Pos 125,O=C(Nc1ccnn1-c1cnn(CCN2CCNCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001772798,positive,72.905495,-2.8490534
Train: Pos 126,O=C(C=Cc1ccc(OCc2ccccc2)cc1)Nc1ccccc1,0.00176739,positive,5.9476967,-11.03988
Train: Pos 127,O=C1C=C(C2C=C3C(C2)OC2C3CC3CCCC4C(=O)OC2C34)CO1,0.001765461,positive,18.861176,26.141577
Train: Pos 128,O=C1CCC2CC3CCCC3CCC=C12,0.001765081,positive,2.6846511,25.08927
Train: Pos 129,O=C1NCCC(CNCc2ccccc2)OCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,0.001764621,positive,51.600147,-22.97995
Train: Pos 130,c1ccc2c(c1)CC1OC1C21Oc2cccc3cccc(c23)O1,0.001762037,positive,-3.7528088,31.99649
Train: Pos 131,C1=C2CCCCC2C2CCC3CCCC3C2C1,0.001761632,positive,7.6291003,34.93565
Train: Pos 132,O=C(Nc1ccnn1-c1cn[nH]c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001761001,positive,71.87804,-2.4878895
Train: Pos 133,O=C1C=CC(CCC2CC=C3C4=CCC5CCCCC5C4CCC32)O1,0.001745057,positive,16.102444,40.397022
Train: Pos 134,O=C1C=CC2C(=CCC3C2CCC2C3CC3OCOC32)C1,0.001743376,positive,4.2601047,36.814373
Train: Pos 135,O=C(Nc1ccccc1)Nc1cccc2c1OC(CNS(=O)(=O)c1ccccc1)CCNC2=O,0.001740127,positive,22.237955,-53.08693
Train: Pos 136,O=C1NC(=S)NC(=O)C1=Cc1c[nH]nc1-c1ccccc1,0.001737304,positive,-37.79716,24.101246
Train: Pos 137,O=C1CC(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)CO1,0.001733168,positive,13.000469,28.049273
Train: Pos 138,O=c1ccc2cc(OC3CCCCO3)ccc2o1,0.001729792,positive,27.87527,26.364702
Train: Pos 139,c1ccc(Oc2cccc(C3Oc4cccc(Oc5ccccc5)c4OC3COc3ccccc3-c3ccccc3)c2)cc1,0.001720124,positive,0.44628143,-7.5435753
Train: Pos 140,C1=C2CC(OC3OCC(OC4CCC(OC5CCCCO5)CO4)CC3OC3CCCCO3)CCC2C2CCC3c4cc(CCCCOC5CCCCO5)oc4CC3C2C1,0.001719651,positive,9.528157,35.325554
Train: Pos 141,O=C(OC1C2OCC3CCCC(C4CCOC5CC(c6ccoc6)C=C5C41)C32)c1ccccc1,0.001716624,positive,29.83888,-12.936998
Train: Pos 142,O=C(Nc1ccnn1-c1ccccc1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001715999,positive,71.44173,-2.5847216
