ID,scaffold_smiles,mean_shap,effect
Train: Pos 115,C(=CC12Oc3ccccc3C(Oc3ccccc31)C2Cc1ccccc1)c1ccccc1,0.001788424,positive
Train: Pos 116,O=C1OC2CCC3CC4CCCC4CC=C1C32,0.001787645,positive
Train: Pos 117,C1=C2C(CCC3C2CCC2CCCCC23)C(c2ccoc2)C1,0.001786816,positive
Train: Pos 118,C1=C2CCC3CCCCC3C2CCC1,0.001781813,positive
Train: Pos 119,O=C1CCC2CCCCC2C1,0.00178177,positive
Train: Pos 120,C1COCC(C2CCC3C2CCC24CC25CCCCC5CCC34)C1,0.001781119,positive
Train: Pos 121,O=C(C=Cc1ccccc1)NCCc1ccccc1,0.001778387,positive
Train: Pos 122,O=C1CCC(c2ccc(OCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001776745,positive
Train: Pos 123,O=c1c(-c2cccc(C(C=Cc3ccccc3)c3ccccc3)c2)coc2ccccc12,0.001775587,positive
Train: Pos 124,O=C(NN=Cc1ccccc1)C12CC3CCC(CC(C3)C1)C2,0.001773688,positive
Train: Pos 125,O=C(Nc1ccnn1-c1cnn(CCN2CCNCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001772798,positive
Train: Pos 126,O=C(C=Cc1ccc(OCc2ccccc2)cc1)Nc1ccccc1,0.00176739,positive
Train: Pos 127,O=C1C=C(C2C=C3C(C2)OC2C3CC3CCCC4C(=O)OC2C34)CO1,0.001765461,positive
Train: Pos 128,O=C1CCC2CC3CCCC3CCC=C12,0.001765081,positive
Train: Pos 129,O=C1NCCC(CNCc2ccccc2)OCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,0.001764621,positive
Train: Pos 130,c1ccc2c(c1)CC1OC1C21Oc2cccc3cccc(c23)O1,0.001762037,positive
Train: Pos 131,C1=C2CCCCC2C2CCC3CCCC3C2C1,0.001761632,positive
Train: Pos 132,O=C(Nc1ccnn1-c1cn[nH]c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001761001,positive
Train: Pos 133,O=C1C=CC(CCC2CC=C3C4=CCC5CCCCC5C4CCC32)O1,0.001745057,positive
Train: Pos 134,O=C1C=CC2C(=CCC3C2CCC2C3CC3OCOC32)C1,0.001743376,positive
Train: Pos 135,O=C(Nc1ccccc1)Nc1cccc2c1OC(CNS(=O)(=O)c1ccccc1)CCNC2=O,0.001740127,positive
Train: Pos 136,O=C1NC(=S)NC(=O)C1=Cc1c[nH]nc1-c1ccccc1,0.001737304,positive
Train: Pos 137,O=C1CC(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)CO1,0.001733168,positive
