ID,scaffold_smiles,mean_shap,effect,umap_x,umap_y
Train: Pos 75,O=C1CCC23CC24CCC2C(C5CCCCOC5)CCC2C4CCC3C1,0.001918777,positive,-4.9727635,-7.1284895
Train: Pos 76,O=C(C=Cc1ccc2c(c1)OCO2)c1ccccc1,0.001915526,positive,-0.45518655,-9.026205
Train: Pos 77,O=C(OCC1CCCC2C1CCC1C3CCC4(C(=O)OC5CCCCO5)CCCCC4C3=CCC12)c1ccccc1,0.001912068,positive,-4.561604,-6.0615025
Train: Pos 78,O=C(CCc1ccccc1)CC(CCc1ccccc1)OC1CCCCO1,0.00191,positive,-0.6004819,-8.214826
Train: Pos 79,C=C1C(=O)OC2CC(=C)C3CCC(=C)C3CC12,0.001906829,positive,-4.973948,-7.2008157
Train: Pos 80,C=C1C(=O)OC2CC=CC(=O)CC=CCC12,0.001904286,positive,-4.295852,-7.3813567
Train: Pos 81,O=C(C=Cc1ccccc1)OC1CCC2COC3C4OC5CC(C6=CCOC6=O)C=C5C4CC1C23,0.00189969,positive,0.047362536,-9.133639
Train: Pos 82,O=C(OC1CCCCO1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,0.001888334,positive,-5.0390067,-6.3503985
Train: Pos 83,O=C1CCC(c2ccc(OCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001879719,positive,-6.412008,-6.0431633
Train: Pos 84,O=C1CNCC2C(c3ccc(C=Cc4ccccc4)cc3)CN12,0.001876856,positive,-0.7463937,-9.520938
Train: Pos 85,O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cccc12,0.001875395,positive,-2.904916,-7.545631
Train: Pos 86,C1=CC2CCCC2CC2CCCC2C1,0.001874771,positive,-4.203143,-7.1448555
Train: Pos 87,O=C1CC2CCCCC2C2CCCC=C12,0.001864551,positive,-4.66948,-7.4359446
Train: Pos 88,O=C(C=Cc1ccccc1)OC1CCC2COC3C4OC5CC(c6ccoc6)C=C5C4CC1C23,0.00185909,positive,0.06290309,-9.0640335
Train: Pos 89,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,0.001858843,positive,-3.711961,-7.6713595
Train: Pos 90,O=C(Nc1ccnn1-c1cccc(OCCN2CCNCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001850344,positive,0.22893608,4.6271715
Train: Pos 91,O=C1NCCC(CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,0.001848642,positive,-2.2023208,-4.5864415
Train: Pos 92,C1=CC2CCCCC2C2CCC3CCCC3=C12,0.001848304,positive,-4.4950833,-6.810205
Train: Pos 93,O=C1C=CCC(CC2CCC3C2CCC2C3CC3OC34CC=CC(=O)C24)O1,0.001844033,positive,-4.170976,-7.5888314
Train: Pos 94,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,0.001832985,positive,-4.6499367,-6.112474
Train: Pos 95,O=C(Nc1ccc2c(c1)C(=O)NCCC(CNCc1ccccc1)OCCCCCO2)Nc1cccc2ccccc12,0.001831114,positive,-1.5830733,-5.349423
Train: Pos 96,C1=C2C3CCCC3CCC2C2CCCCC2C1,0.001828748,positive,-4.9838805,-6.9238667
Train: Pos 97,O=C1CCC2C(CC=C3C2CCC2C3CCC2C2CCCOC2)C1,0.001826805,positive,-4.626065,-7.1197553
Train: Pos 98,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2,0.001826613,positive,-4.2242923,-6.930542
Train: Pos 99,C=C1CCC2CC2=CCC(=O)C2CCC(OC(=O)C=Cc3ccccc3)C2C1,0.001826008,positive,0.09700828,-8.840388
Train: Pos 100,C=C1CCCC2CC3OC(=O)C(=C)C3CC12,0.001823124,positive,-4.945038,-7.144584
Train: Pos 101,O=C1CCC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001814994,positive,-6.380502,-6.072353
Train: Pos 102,O=C1C=C(C2CC=C3C2CCC2C3CC3OCC4CCCC2C43)CO1,0.001811857,positive,-4.091296,-7.299936
Train: Pos 103,O=C1CCC2C(CCC3C4CC(=O)C5CCCCC5C4=CCC23)C1,0.001811385,positive,-4.8614707,-6.9753547
Train: Pos 104,O=C1C=C2CCCCC2C2CCC3CCC=C3C12,0.001807647,positive,-4.381213,-7.1884136
Train: Pos 105,c1ccc(C2Cc3c(ccc4c3CCc3ccccc3-4)O2)cc1,0.001802183,positive,-2.857854,-6.826906
Train: Pos 106,O=C1CC2CCCC2C2CC=C3CCCCC3C12,0.001798722,positive,-4.7161894,-6.6114225
Train: Pos 107,O=C(C=Cc1ccccc1)c1c[nH]c2ccccc12,0.001798228,positive,-0.12021091,-9.389843
Train: Pos 108,O=C1C=C2C(C1)OC1C2CC2C(OC(=O)C=Cc3ccccc3)CCC3COC1C32,0.001795133,positive,0.061839346,-9.121048
Train: Pos 109,C1=C2C(CC1c1ccoc1)OC1C2CC2CCCC3COC1C32,0.001795053,positive,-4.782162,-7.723317
Train: Pos 110,O=C1C=C2CCCCC2C2CCC3CCCC3C12,0.001793655,positive,-4.6915584,-6.9032536
Train: Pos 111,O=C1CCC23CC24CCC2C(C5CCCOC5)CCC2C4CCC3C1,0.001793546,positive,-4.843887,-7.1685452
Train: Pos 112,O=C(Nc1ccccc1)c1cccc(CNCC2CCNC(=O)c3[nH]c4ccccc4c3-c3ccccc3CO2)c1,0.001791773,positive,-2.193017,-4.5960817
Train: Pos 113,O=c1ccc2ccc(OC3CCCCO3)cc2o1,0.001791104,positive,-3.916724,-6.4193583
Train: Pos 114,O=C1CCC2c3ccccc3CCC23OC13,0.001790442,positive,-2.979293,-7.9420147
Train: Pos 115,C(=CC12Oc3ccccc3C(Oc3ccccc31)C2Cc1ccccc1)c1ccccc1,0.001788424,positive,-1.0912546,-9.06293
Train: Pos 116,O=C1OC2CCC3CC4CCCC4CC=C1C32,0.001787645,positive,-4.14808,-7.5829415
Train: Pos 117,C1=C2C(CCC3C2CCC2CCCCC23)C(c2ccoc2)C1,0.001786816,positive,-3.9769769,-7.0488415
Train: Pos 118,C1=C2CCC3CCCCC3C2CCC1,0.001781813,positive,-4.408775,-7.212454
Train: Pos 119,O=C1CCC2CCCCC2C1,0.00178177,positive,-4.8561983,-6.8900003
Train: Pos 120,C1COCC(C2CCC3C2CCC24CC25CCCCC5CCC34)C1,0.001781119,positive,-4.919101,-7.1220703
Train: Pos 121,O=C(C=Cc1ccccc1)NCCc1ccccc1,0.001778387,positive,-0.035394087,-9.14654
Train: Pos 122,O=C1CCC(c2ccc(OCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001776745,positive,-6.400653,-6.0538774
Train: Pos 123,O=c1c(-c2cccc(C(C=Cc3ccccc3)c3ccccc3)c2)coc2ccccc12,0.001775587,positive,-2.9089532,-7.7853146
Train: Pos 124,O=C(NN=Cc1ccccc1)C12CC3CCC(CC(C3)C1)C2,0.001773688,positive,0.6836912,-8.486225
Train: Pos 125,O=C(Nc1ccnn1-c1cnn(CCN2CCNCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001772798,positive,0.24501865,4.643944
Train: Pos 126,O=C(C=Cc1ccc(OCc2ccccc2)cc1)Nc1ccccc1,0.00176739,positive,-0.70761114,-8.619514
Train: Pos 127,O=C1C=C(C2C=C3C(C2)OC2C3CC3CCCC4C(=O)OC2C34)CO1,0.001765461,positive,-4.6863155,-7.564466
Train: Pos 128,O=C1CCC2CC3CCCC3CCC=C12,0.001765081,positive,-4.371371,-7.3446355
Train: Pos 129,O=C1NCCC(CNCc2ccccc2)OCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,0.001764621,positive,-1.6455013,-5.3291674
Train: Pos 130,c1ccc2c(c1)CC1OC1C21Oc2cccc3cccc(c23)O1,0.001762037,positive,-3.5249135,-7.789618
Train: Pos 131,C1=C2CCCCC2C2CCC3CCCC3C2C1,0.001761632,positive,-4.8167787,-6.45233
Train: Pos 132,O=C(Nc1ccnn1-c1cn[nH]c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001761001,positive,0.2509499,4.6525154
Train: Pos 133,O=C1C=CC(CCC2CC=C3C4=CCC5CCCCC5C4CCC32)O1,0.001745057,positive,-4.66596,-7.227594
Train: Pos 134,O=C1C=CC2C(=CCC3C2CCC2C3CC3OCOC32)C1,0.001743376,positive,-4.8736315,-6.2266316
Train: Pos 135,O=C(Nc1ccccc1)Nc1cccc2c1OC(CNS(=O)(=O)c1ccccc1)CCNC2=O,0.001740127,positive,-0.42508525,-5.755172
Train: Pos 136,O=C1NC(=S)NC(=O)C1=Cc1c[nH]nc1-c1ccccc1,0.001737304,positive,-2.550013,-9.364237
Train: Pos 137,O=C1CC(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)CO1,0.001733168,positive,-4.4743676,-7.0018034
Train: Pos 138,O=c1ccc2cc(OC3CCCCO3)ccc2o1,0.001729792,positive,-3.862727,-6.6269884
Train: Pos 139,c1ccc(Oc2cccc(C3Oc4cccc(Oc5ccccc5)c4OC3COc3ccccc3-c3ccccc3)c2)cc1,0.001720124,positive,-1.7556192,-8.63476
Train: Pos 140,C1=C2CC(OC3OCC(OC4CCC(OC5CCCCO5)CO4)CC3OC3CCCCO3)CCC2C2CCC3c4cc(CCCCOC5CCCCO5)oc4CC3C2C1,0.001719651,positive,-4.511872,-6.566053
Train: Pos 141,O=C(OC1C2OCC3CCCC(C4CCOC5CC(c6ccoc6)C=C5C41)C32)c1ccccc1,0.001716624,positive,-0.1587227,-8.396913
Train: Pos 142,O=C(Nc1ccnn1-c1ccccc1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001715999,positive,0.19100171,4.587604
Train: Pos 143,c1cc(C2CCC3C2CCC2C4CCCCC4CCC23)n[nH]1,0.001712594,positive,-5.0718117,-6.385663
Train: Pos 144,C=C1C(=O)OC2CCC3CCCC3CC12,0.001710999,positive,-5.026439,-7.1981435
Train: Pos 145,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.001705379,positive,-4.904709,-6.304202
Train: Pos 146,O=C1CC(c2cccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)c2)=NN1,0.00170519,positive,-6.3969784,-6.0572495
Train: Pos 147,C=C1CCCCC1CCC=CCOc1ccc2ccc(=O)oc2c1,0.001699834,positive,-4.101338,-6.2836776
