Index,canonical_smiles
15254,O=C(Nc1ccc(N2CCCCC2)c(Cl)c1)c1cccnc1
8750,CCn1c(SCC(=O)N2CCCC2)nc2ccccc2c1=O
8619,COc1ccc(C(=O)Nc2ccc(Cl)c(S(=O)(=O)N3CCOCC3)c2)cc1
9015,Cc1onc(-c2ccccc2)c1C(N)=O
9131,COCCCNC(=O)c1c(-c2ccccc2)noc1C
4441,O=C1C(=O)N(Cc2cccs2)c2ccccc21
12632,CCCC(=O)Nc1ccc(NC(=O)C2CC2)cn1
15330,O=C(Nc1ccc(Nc2ccccc2)cc1)C1CC1
8798,O=C(c1c(Cl)cccc1Cl)N1CCCCCC1
2706,O=C(Oc1ccccc1C(=O)Nc1ccccc1)c1ccccc1Br
12187,Nc1ccc(C(=O)OCc2nc3ccccc3[nH]2)cc1
10270,Cc1cc(N2CCN(c3ccccc3)CC2)nc(-c2ccccc2)n1
218,Cc1ccc(C(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1
1064,O=C(c1ccccc1)N1CCN(c2ccccc2F)CC1
1066,O=C(c1ccccc1F)N1CCN(c2ccccc2F)CC1
10496,COc1ccccc1C(=O)N1CCN(c2cccc(Cl)c2)CC1
11533,Cc1ccc(C)c(N2CCN(C(=O)c3ccccc3Br)CC2)c1
14967,COc1ccc(N2CCN(C(=O)c3ccc(C(C)(C)C)cc3)CC2)cc1
15260,COc1cc(OC)cc(C(=O)N2CCN(c3ccccc3F)CC2)c1
9661,O=S(=O)(NCCOc1ccc(F)cc1)c1ccc2c(c1)OCCO2
1754,O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)c1ccc2c(c1)OCO2
13578,O=C(Cc1ccccc1)Nc1nc2ccccc2[nH]1
1094,O=C(NCc1nc(-c2ccccc2)no1)c1ccc2c(c1)OCO2
11816,O=C(NCc1cccc(F)c1)C1CCN(S(=O)(=O)Cc2ccccc2)CC1
2967,COc1ccc(-n2ncc(Cl)c(Cl)c2=O)cc1
11832,O=C(O)CCC(=O)Nc1ccc(N2CCCCC2)c(C(=O)O)c1
8564,CN(Cc1ccccc1)S(=O)(=O)c1ccc(N2CCCC2=O)cc1
3859,Cc1ccccc1C(=O)NNC(=S)NC(=O)c1ccc(Cl)cc1Cl
3864,Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2Cl)cc1
3900,Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2)cc1
4053,Cc1cccc(C(=O)NC(=S)NNC(=O)c2ccccc2Cl)c1
4077,Cc1ccccc1C(=O)NNC(=S)NC(=O)c1ccccc1
4420,COc1ccc(C(=O)NC(=S)NNC(=O)c2ccccc2C)cc1
4421,COc1ccc(C(=O)NC(=S)NNC(=O)c2ccc(C)cc2)cc1
4422,Cc1cccc(C(=O)NNC(=S)NC(=O)c2ccccc2)c1
4427,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2)cc1
4428,Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccccc2)cc1
4438,COc1ccc(C(=O)NC(=S)NNC(=O)c2cccc(C)c2)cc1
4454,Cc1ccc(C(=O)NC(=S)NNC(=O)c2ccccc2)cc1
4456,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(OC)cc2)cc1
4467,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccccc2)cc1
4476,Cc1ccc(C(=O)NC(=S)NNC(=O)c2ccc([N+](=O)[O-])cc2)cc1
4485,O=C(NNC(=S)NC(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1
4501,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2ccccc2)cc1
4519,O=C(NC(=S)NNC(=O)c1ccccc1O)c1ccccc1
9023,Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1
15800,Brc1cccc(-c2n[nH]c(-c3ccccc3)n2)c1
11957,Cc1c(C(=O)Nc2ccncc2)oc2ccccc12
9625,COc1ccc(CN2CCC(CNC(=O)NC3CCCCC3)CC2)cc1
8522,Cc1cc(NC(=O)COC(=O)C2CC2)ccc1Br
14594,Fc1ccc(CCNCc2ccc(Oc3ccccc3)cc2)cc1
11222,COc1cccc(Nc2cc(C)nc3ccccc23)c1
9978,CCC(=O)Nc1ccc(NC(=O)Cc2ccccc2)cn1
9227,O=C(Nc1ccccc1N1CCN(c2ccccc2)CC1)c1cccc(F)c1
10852,O=C(Nc1ccccc1N1CCN(c2ccc(F)cc2)CC1)c1ccccc1
14395,Cc1ccc(S(=O)(=O)NC(=O)c2ccccn2)cc1
14508,O=C(NS(=O)(=O)c1ccccc1)c1ccccn1
14622,O=C(NS(=O)(=O)c1ccc(F)cc1)c1ccccn1
14705,O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccccn1
14866,O=C(NS(=O)(=O)c1ccc(Br)cc1)c1ccccn1
13852,c1ccc(-c2cccc(-c3ccccn3)n2)nc1
4790,CCc1nnc(NC(=O)OCc2ccccc2)s1
14263,Cc1cc(=O)oc(C)c1C(=O)NCCc1ccccc1
15313,Cn1nc(OCc2ccccc2)ccc1=O
9125,O=C(NC1CCN(C(=O)N2CCOCC2)CC1)c1ccccc1
5651,COc1ccc2cc(C(=O)NC3CCCC3)cnc2c1
271,Cc1ccc(NC(=O)c2cc(NC(=O)CCC(=O)O)ccc2N2CCCCC2)cc1
11019,Cc1nc(N)nc(C)c1Cc1ccccc1
