Index,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings
1314,364.4490000000002,3.1638800000000007,3.0,6.0,104.19,5.0,2.0,2.0,6.0,4.0,27.0,2.0
5444,345.4680000000002,3.534200000000002,1.0,6.0,68.45,2.0,2.0,1.0,6.0,4.0,24.0,2.0
2525,482.4920000000002,5.553800000000004,2.0,7.0,106.87,8.0,4.0,0.0,8.0,4.0,36.0,0.0
12514,270.387,1.8141399999999994,2.0,6.0,83.13999999999999,6.0,2.0,0.0,8.0,2.0,17.0,0.0
6169,243.35399999999996,3.6957400000000025,1.0,2.0,29.33,2.0,2.0,1.0,3.0,3.0,18.0,1.0
1879,220.31199999999995,3.0832000000000015,0.0,2.0,34.14,0.0,0.0,0.0,2.0,1.0,16.0,1.0
11996,338.444,3.4623000000000026,1.0,5.0,72.83000000000001,13.0,0.0,0.0,5.0,1.0,24.0,1.0
13427,296.36299999999994,2.292,1.0,5.0,72.83000000000001,10.0,0.0,0.0,5.0,1.0,21.0,1.0
12226,439.56200000000024,4.124640000000003,1.0,6.0,77.13,7.0,4.0,0.0,8.0,4.0,30.0,0.0
1940,333.344,1.5322000000000002,1.0,5.0,88.49,2.0,2.0,0.0,8.0,3.0,23.0,1.0
5804,302.37300000000005,4.4463000000000035,1.0,2.0,29.46,2.0,3.0,0.0,2.0,4.0,23.0,1.0
2324,298.72900000000004,3.119300000000001,1.0,3.0,49.410000000000004,3.0,2.0,0.0,5.0,3.0,21.0,1.0
2325,264.284,2.4659000000000004,1.0,3.0,49.410000000000004,3.0,2.0,0.0,4.0,3.0,20.0,1.0
2327,312.7560000000001,3.4277200000000017,1.0,3.0,49.410000000000004,3.0,2.0,0.0,5.0,3.0,22.0,1.0
9151,414.51300000000026,4.568000000000003,0.0,6.0,72.87,8.0,4.0,1.0,7.0,5.0,31.0,1.0
6632,441.5970000000002,2.771440000000001,2.0,4.0,78.50999999999999,8.0,2.0,1.0,7.0,3.0,31.0,1.0
4368,397.482,4.363420000000002,3.0,4.0,92.60999999999999,6.0,5.0,0.0,6.0,5.0,30.0,0.0
7958,328.4560000000002,4.2782000000000036,1.0,3.0,41.57,3.0,1.0,3.0,4.0,4.0,24.0,3.0
1840,342.4450000000001,3.995700000000002,1.0,3.0,58.53,4.0,3.0,0.0,6.0,3.0,23.0,0.0
9600,376.51100000000025,3.0159800000000017,1.0,7.0,96.49000000000001,7.0,2.0,0.0,9.0,3.0,25.0,1.0
10038,344.32700000000017,1.2174399999999996,1.0,8.0,120.19999999999999,5.0,3.0,0.0,9.0,3.0,25.0,0.0
14723,871.0710000000004,1.7052000000000034,8.0,16.0,251.35999999999993,12.0,0.0,7.0,16.0,7.0,61.0,7.0
14735,813.0350000000005,2.163600000000003,8.0,14.0,225.05999999999997,11.0,0.0,7.0,14.0,7.0,57.0,7.0
14736,829.0340000000004,1.134400000000003,9.0,15.0,245.28999999999996,11.0,0.0,7.0,15.0,7.0,58.0,7.0
6207,397.45000000000016,3.9783200000000036,0.0,4.0,56.59,4.0,3.0,1.0,7.0,4.0,29.0,1.0
6560,397.4500000000001,3.9783200000000036,0.0,4.0,56.59,4.0,3.0,1.0,7.0,4.0,29.0,1.0
1715,363.4180000000001,0.5850000000000001,3.0,5.0,117.99000000000001,7.0,2.0,0.0,9.0,2.0,26.0,0.0
9144,392.4960000000002,2.7802000000000007,2.0,5.0,85.89,8.0,1.0,1.0,7.0,2.0,28.0,1.0
6969,330.40900000000005,3.288840000000002,0.0,4.0,61.190000000000005,4.0,3.0,0.0,6.0,3.0,23.0,0.0
11547,337.744,2.834900000000001,0.0,5.0,95.10000000000001,3.0,3.0,0.0,9.0,3.0,22.0,0.0
12062,346.40800000000013,2.9073400000000014,0.0,5.0,70.42,4.0,3.0,0.0,7.0,3.0,24.0,0.0
1663,341.7980000000001,3.8516200000000023,1.0,3.0,56.15,5.0,3.0,0.0,6.0,3.0,24.0,0.0
10979,318.336,2.7614800000000006,1.0,4.0,79.94000000000001,5.0,3.0,0.0,6.0,3.0,24.0,0.0
11494,531.6340000000002,3.772700000000003,0.0,5.0,95.07,5.0,3.0,2.0,9.0,6.0,38.0,3.0
8552,337.81100000000004,1.1764999999999994,0.0,4.0,65.06,3.0,2.0,1.0,8.0,3.0,23.0,1.0
1654,140.18599999999998,1.0030000000000001,0.0,2.0,32.67,1.0,0.0,0.0,3.0,1.0,10.0,1.0
11426,568.6960000000004,4.748200000000005,2.0,7.0,106.34,12.0,4.0,0.0,11.0,4.0,39.0,0.0
11427,538.6700000000002,5.120100000000005,2.0,6.0,97.11,9.0,4.0,0.0,10.0,4.0,37.0,0.0
11428,565.6960000000001,4.8754000000000035,2.0,6.0,105.97999999999999,10.0,4.0,0.0,11.0,4.0,39.0,0.0
11431,564.7080000000002,5.941900000000006,1.0,6.0,86.11000000000001,12.0,4.0,0.0,10.0,4.0,39.0,0.0
11605,494.6170000000002,5.276300000000004,1.0,5.0,76.88,7.0,4.0,0.0,9.0,4.0,34.0,0.0
11671,562.6920000000001,5.389100000000005,1.0,6.0,86.11000000000001,11.0,4.0,0.0,10.0,4.0,39.0,0.0
11920,554.7380000000003,6.102300000000005,1.0,6.0,76.88,10.0,4.0,0.0,10.0,4.0,37.0,0.0
11937,524.6430000000003,4.731600000000005,2.0,6.0,97.11,9.0,4.0,0.0,10.0,4.0,36.0,0.0
13554,538.6700000000002,5.385700000000005,1.0,6.0,86.11000000000001,10.0,4.0,0.0,10.0,4.0,37.0,0.0
10415,355.3940000000002,2.657800000000001,1.0,6.0,90.41,5.0,2.0,0.0,7.0,3.0,26.0,1.0
4406,432.9950000000001,5.794700000000005,1.0,2.0,32.34,5.0,3.0,1.0,4.0,4.0,31.0,1.0
9706,410.451,4.2261200000000025,1.0,7.0,92.87,6.0,3.0,0.0,8.0,4.0,29.0,1.0
12169,422.4620000000001,4.392220000000003,1.0,7.0,92.87,7.0,3.0,0.0,8.0,4.0,30.0,1.0
13001,334.41900000000015,4.687800000000003,2.0,3.0,58.2,4.0,2.0,1.0,4.0,4.0,25.0,2.0
6786,350.4220000000001,3.640340000000003,2.0,3.0,76.02000000000001,5.0,3.0,0.0,6.0,3.0,26.0,0.0
2144,376.44100000000003,3.5488000000000017,1.0,5.0,76.88,5.0,4.0,0.0,7.0,4.0,27.0,0.0
208,486.5360000000001,3.839000000000002,1.0,7.0,103.41,8.0,5.0,0.0,11.0,5.0,35.0,0.0
8351,498.5720000000002,3.7085000000000026,1.0,8.0,112.63999999999999,9.0,5.0,0.0,11.0,5.0,36.0,0.0
12451,337.4950000000002,3.3876000000000017,1.0,6.0,54.35,5.0,2.0,0.0,7.0,3.0,21.0,1.0
6591,290.348,1.5993999999999997,0.0,6.0,68.21000000000001,3.0,2.0,1.0,7.0,3.0,20.0,1.0
7482,306.321,2.9419000000000013,1.0,5.0,77.50000000000001,1.0,2.0,0.0,5.0,4.0,23.0,2.0
5736,378.47200000000015,4.621540000000004,1.0,4.0,64.36,8.0,3.0,0.0,5.0,3.0,28.0,0.0
13122,455.6020000000001,5.484100000000006,1.0,4.0,44.81,5.0,3.0,1.0,5.0,5.0,34.0,2.0
14890,400.4710000000001,4.299500000000005,4.0,6.0,107.22,11.0,2.0,0.0,6.0,2.0,29.0,0.0
8069,493.5160000000003,3.206900000000001,2.0,7.0,123.25,8.0,3.0,1.0,10.0,5.0,36.0,2.0
6168,499.6190000000004,4.005040000000003,1.0,5.0,97.94000000000001,7.0,4.0,1.0,9.0,5.0,37.0,1.0
313,285.365,3.3048400000000013,1.0,3.0,46.17,3.0,2.0,0.0,6.0,2.0,18.0,0.0
9705,334.3720000000001,1.8249999999999995,2.0,6.0,81.96000000000001,9.0,2.0,0.0,7.0,2.0,24.0,0.0
4003,457.5260000000002,4.666900000000006,2.0,6.0,79.23,6.0,3.0,1.0,6.0,4.0,34.0,1.0
11296,541.6080000000003,5.186900000000005,0.0,8.0,113.07000000000002,8.0,3.0,1.0,10.0,4.0,40.0,1.0
11810,569.7420000000003,7.381700000000009,0.0,6.0,57.230000000000004,14.0,3.0,1.0,6.0,4.0,42.0,1.0
4829,328.25900000000007,3.036200000000001,1.0,6.0,111.16000000000003,4.0,3.0,0.0,9.0,3.0,24.0,0.0
4943,313.288,3.1366000000000014,1.0,5.0,77.25000000000001,4.0,3.0,0.0,7.0,3.0,23.0,0.0
1712,363.4820000000001,5.465080000000004,1.0,3.0,46.17,4.0,3.0,0.0,4.0,3.0,26.0,0.0
10975,399.8820000000003,3.473740000000002,0.0,5.0,74.83,6.0,3.0,1.0,8.0,4.0,28.0,1.0
6059,408.50200000000007,3.5225000000000017,2.0,4.0,77.67000000000002,8.0,3.0,0.0,7.0,3.0,30.0,0.0
8015,436.55600000000015,4.221020000000003,2.0,4.0,77.67,9.0,3.0,0.0,7.0,3.0,32.0,0.0
9724,408.5020000000001,3.4408200000000013,2.0,4.0,77.67,7.0,3.0,0.0,7.0,3.0,30.0,0.0
12809,399.87800000000004,3.9064200000000024,3.0,3.0,85.43,6.0,3.0,0.0,7.0,3.0,28.0,0.0
10272,323.39900000000006,1.0674200000000003,0.0,6.0,81.91999999999999,3.0,2.0,0.0,8.0,3.0,21.0,1.0
7077,393.47200000000015,2.541900000000001,0.0,6.0,80.98,5.0,3.0,0.0,8.0,4.0,28.0,1.0
4764,263.724,2.4072000000000005,0.0,2.0,37.38,3.0,1.0,1.0,4.0,3.0,18.0,2.0
12398,415.3530000000003,3.168800000000002,0.0,3.0,57.690000000000005,6.0,1.0,1.0,7.0,3.0,24.0,2.0
7076,370.352,2.8520000000000016,3.0,4.0,78.43,3.0,2.0,1.0,9.0,3.0,25.0,1.0
5539,422.4370000000003,2.890600000000002,1.0,6.0,102.00999999999999,6.0,2.0,1.0,8.0,4.0,31.0,2.0
909,381.3790000000001,3.5139200000000006,1.0,3.0,77.98,3.0,3.0,0.0,9.0,3.0,26.0,0.0
11741,443.4850000000002,2.173,4.0,5.0,156.41,8.0,3.0,0.0,11.0,3.0,31.0,0.0
11794,526.6590000000004,4.512000000000002,3.0,5.0,144.38,15.0,3.0,0.0,10.0,3.0,37.0,0.0
12014,428.4700000000001,1.7812999999999999,3.0,5.0,144.38,8.0,3.0,0.0,10.0,3.0,30.0,0.0
12397,264.284,3.2375000000000016,1.0,2.0,55.12,3.0,3.0,0.0,4.0,3.0,20.0,0.0
12772,541.6740000000005,4.903700000000003,4.0,5.0,156.41,15.0,3.0,0.0,11.0,3.0,38.0,0.0
14204,352.74300000000005,5.220100000000003,0.0,2.0,27.05,3.0,3.0,0.0,7.0,3.0,24.0,0.0
6814,366.39200000000005,3.1781000000000024,0.0,3.0,57.690000000000005,2.0,2.0,0.0,6.0,4.0,27.0,2.0
12313,324.4490000000001,5.141200000000004,0.0,2.0,23.550000000000004,0.0,2.0,1.0,4.0,4.0,23.0,2.0
6643,303.3210000000001,3.349120000000002,0.0,4.0,60.92,2.0,4.0,0.0,5.0,4.0,23.0,0.0
2822,299.35500000000013,2.7261000000000006,2.0,5.0,95.14,2.0,3.0,0.0,6.0,4.0,21.0,1.0
10122,312.42100000000005,2.5663600000000004,1.0,5.0,58.35,5.0,3.0,0.0,6.0,3.0,23.0,0.0
6241,378.4610000000001,2.8915200000000008,0.0,6.0,78.49000000000001,6.0,4.0,0.0,8.0,4.0,27.0,0.0
3168,338.362,4.402300000000003,0.0,3.0,51.21,3.0,3.0,0.0,3.0,4.0,26.0,1.0
14174,621.6979999999999,4.670240000000004,1.0,10.0,117.27,9.0,6.0,1.0,12.0,7.0,46.0,1.0
9325,377.40400000000017,3.9212000000000025,1.0,6.0,108.19,3.0,3.0,1.0,8.0,4.0,28.0,1.0
4930,424.4380000000002,2.3280199999999995,3.0,7.0,114.72,3.0,3.0,0.0,10.0,4.0,30.0,1.0
1349,482.58100000000036,3.0840000000000005,2.0,6.0,109.86,12.0,2.0,1.0,9.0,3.0,35.0,1.0
7102,440.51900000000006,3.4171000000000014,2.0,4.0,91.4,10.0,2.0,1.0,8.0,3.0,32.0,1.0
6943,402.5490000000003,3.7210800000000024,1.0,7.0,96.49000000000001,5.0,2.0,1.0,9.0,4.0,27.0,2.0
1374,323.14599999999996,1.8407,0.0,4.0,61.190000000000005,3.0,2.0,0.0,6.0,2.0,19.0,0.0
686,220.261,0.12499999999999961,3.0,4.0,91.97999999999999,2.0,2.0,0.0,7.0,2.0,15.0,0.0
7722,294.322,0.5802399999999995,1.0,7.0,131.33999999999997,4.0,2.0,0.0,8.0,2.0,22.0,0.0
4794,344.3960000000001,1.99932,1.0,6.0,100.1,4.0,3.0,0.0,8.0,3.0,24.0,0.0
335,315.3730000000001,2.2728199999999994,1.0,5.0,77.25,6.0,2.0,1.0,6.0,3.0,23.0,1.0
8074,477.6560000000003,3.244200000000002,0.0,6.0,88.39999999999999,7.0,2.0,2.0,10.0,4.0,32.0,2.0
5065,384.9790000000001,5.101500000000004,0.0,5.0,23.550000000000004,4.0,1.0,1.0,7.0,3.0,23.0,2.0
9832,355.41900000000004,2.5500999999999996,2.0,4.0,87.63,4.0,2.0,0.0,7.0,3.0,25.0,1.0
2852,366.373,2.7866,2.0,5.0,85.89000000000001,4.0,2.0,0.0,7.0,4.0,27.0,2.0
2856,400.81800000000004,3.4400000000000013,2.0,5.0,85.89000000000001,4.0,2.0,0.0,8.0,4.0,28.0,2.0
3562,411.37000000000006,2.6948,2.0,7.0,129.03,5.0,2.0,0.0,10.0,4.0,30.0,2.0
3579,427.3690000000001,2.4004000000000003,3.0,8.0,149.26000000000002,5.0,2.0,0.0,11.0,4.0,31.0,2.0
768,431.5110000000001,4.641880000000004,2.0,3.0,76.36,3.0,2.0,2.0,6.0,4.0,32.0,2.0
769,431.5110000000001,4.641880000000004,2.0,3.0,76.36,3.0,2.0,2.0,6.0,4.0,32.0,2.0
790,431.5110000000001,4.641880000000004,2.0,3.0,76.36,3.0,2.0,2.0,6.0,4.0,32.0,2.0
