compound_id,InChIKey,canonical_smiles,scaffold,exact_scaffold_hit,similar_scaffold_hit,Note
29563,YJVXDRHQRLHFGY-UHFFFAOYSA-N,CC1CCC2(C=O)CCC3(C)C(=CCC4C5(C)CCCC(C)(C)C5CCC43C)C2C1C,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,TRUE,TRUE,Exact
29564,CSEHFWRYAPKMKF-UHFFFAOYSA-N,COc1c(OCC=C(C)CC(C=C(C)C)OC(C)=O)ccc2ccc(=O)oc12,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29569,GABPPIKPVIRAPL-UHFFFAOYSA-N,COc1cc(O)c(-c2oc3c(OC)c(O)c(OC)c(O)c3c(=O)c2OC)cc1OC,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29577,MTRLRZGBNHFCIW-UHFFFAOYSA-N,COc1c(O)cc(-c2oc3c(OC)c(O)cc(O)c3c(=O)c2OC)cc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29581,ITCYTGAJOJILCW-UHFFFAOYSA-N,C=CC(C)(C)c1cc2cc(CC=C(C)C)c(OC)cc2oc1=O,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29582,YQGZXCKIZNYZAH-UHFFFAOYSA-N,COc1cccc(OC)c1-c1oc2c(ccc3occc32)c(=O)c1OC,O=c1cc(-c2ccccc2)oc2c1ccc1occc12,TRUE,TRUE,Exact
29584,MUUDYSFWQUSAOO-UHFFFAOYSA-N,CC(C)=CCc1c(O)cc2oc(-c3ccc(O)cc3O)c(CC=C(C)C)c(=O)c2c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29594,IANTXARIIJNAIU-UHFFFAOYSA-N,CC(C)=CCCC(C)=CC(O)CC(C)=CCOc1ccc2ccc(=O)oc2c1,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29601,GNJVUACZJGJODM-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c(OC)c(-c3cc(OC)c(OC)cc3O)oc2c1,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29609,XWTLYULBWZQAAZ-UHFFFAOYSA-N,COc1c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29615,CQAZVEHOHSEEFJ-UHFFFAOYSA-N,CC(=CCO)CCC1C(C)(O)CCC2C(C)(C=O)CCCC12C,C1CCC2CCCCC2C1,TRUE,TRUE,Exact
29626,GVCVDVGNKCBNGU-UHFFFAOYSA-N,COc1c(-c2ccc(O)c(O)c2)oc2c(OC)c(O)c(O)c(O)c2c1=O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29639,SHONUJDWRZAHCQ-UHFFFAOYSA-N,COc1cc(OC)c(-c2coc3cc(O)c(OC)c(O)c3c2=O)cc1OC,O=c1c(-c2ccccc2)coc2ccccc12,TRUE,TRUE,Exact
29643,ZHESTCBHMHKZNL-UHFFFAOYSA-N,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc(OC)c1OC,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29655,MMPVAPMCVABQPS-UHFFFAOYSA-N,CC(C)=CCc1c(O)cc2occ(-c3ccc(O)cc3O)c(=O)c2c1O,O=c1c(-c2ccccc2)coc2ccccc12,TRUE,TRUE,Exact
29657,AWEFUQDNSBBNCR-UHFFFAOYSA-N,CC(C)=CCOc1cc2oc(=O)ccc2cc1O,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29659,PFQMUQWFRINBBG-UHFFFAOYSA-N,CC(C)=CCc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29666,IISMOXLSZASLDD-UHFFFAOYSA-N,C=C(C)C(=O)Cc1c(OC)ccc2ccc(=O)oc12,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29688,WDYQMCNGMVWGAA-UHFFFAOYSA-N,CC(=CCc1c(O)cc(O)c2c1OC(c1ccc(O)c(C)c1)CC2=O)CO,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
29693,NQBROFAEMRVICP-UHFFFAOYSA-N,CC(C)=CCc1cc(-c2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2O)cc(O)c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29759,VOCATNAJXJSCLN-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3O)oc2c1,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29762,JNZJOLYHTZUUIO-UHFFFAOYSA-N,COc1cc(O)c2c(c1CC=C(C)CCC=C(C)C)OC(c1ccccc1)CC2=O,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
29770,LSUSTOFGGHZNSS-UHFFFAOYSA-N,CCCCOC(=O)c1cc2c([nH]c3ccccc32)c(C(O)CO)n1,c1ccc2c(c1)[nH]c1cnccc12,TRUE,TRUE,Exact
29808,KATQHJZHAFCFAQ-UHFFFAOYSA-N,CC(C)=CCc1c(O)ccc(-c2oc3cc(O)cc(O)c3c(=O)c2CC=C(C)C)c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29810,XJDSLGAFRQCARR-UHFFFAOYSA-N,COc1cc2oc(=O)ccc2cc1C(=O)C=C(C)C,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
29837,LRUIASUJJNMESX-UHFFFAOYSA-N,COc1cc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)ccc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29853,DMJVEWLHVIFEJI-UHFFFAOYSA-N,CC(C)(O)C1CCC2(C)CCCC(C)(O)C2C1O,C1CCC2CCCCC2C1,TRUE,TRUE,Exact
29921,FUOYNUQYIXMTMU-UHFFFAOYSA-N,CC=C(C)C=CC1C(C)(O)CCC2C(C)(C)CCCC21C,C1CCC2CCCCC2C1,TRUE,TRUE,Exact
29969,WCSHKPNHOSDFGK-UHFFFAOYSA-N,CC(C)=CCc1c(O)cc(O)c2c(=O)c(O)c(-c3ccccc3)oc12,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29974,DDGJUTBQQURRGE-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)c(OC)c3o2)cc1,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29986,HVPOSSMBPDMQAY-UHFFFAOYSA-N,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc(O)c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
29988,RZGHGVYSEQLDBS-UHFFFAOYSA-N,C=CC(C)(O)CCC1(O)C(C)CCC2C(C)(C)C(Br)CCC21C,C1CCC2CCCCC2C1,TRUE,TRUE,Exact
30030,BEKAYYCNIPENDS-UHFFFAOYSA-N,C=C(C)C(CC=C(C)C)Cc1c(O)cc2oc(-c3ccc(O)cc3O)cc(=O)c2c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30034,LPJVWYSUEPZYBI-UHFFFAOYSA-N,COc1cc(OC)c(-c2oc3c(OC)c(O)c(OC)c(O)c3c(=O)c2OC)cc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
