canonical_smiles,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_avg,ID,lipinski_rule_of_five_violations,sa_score,y_pred
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,0.99999833,0.9999996,0.99977094,0.99611574,0.71461135,0.9283721,0.9398113433333334,14733,0,1.761758034,1
COc1cc(C)cc2c1[nH]c1ccccc12,0.9999942,0.99996996,0.89586806,0.9244819,0.70784354,0.7947971,0.8871591266666666,14827,0,1.873969211,1
O=C(c1ccccc1)C(O)c1ccccc1,0.99997574,0.52524334,0.96293277,0.87761134,0.5510659,0.78944665,0.7843792900000001,15211,0,1.97540974,1
COc1cc(O)c(C(C)=O)c(OC)c1,0.99999887,0.99999976,0.99978113,0.9570179,0.6954549,0.8246181,0.9128117766666667,15454,0,1.929959172,1
COc1c(O)ccc(C(=O)c2ccccc2)c1O,0.9924763,0.9998397,1.0,0.553033,0.6662551,0.9679807,0.8632641333333333,15647,0,1.906167734,1
CC(=O)CCc1ccc(O)cc1,0.99999905,0.99827194,0.994951,0.9172718,0.5808229,0.9314935,0.9038016983333333,16025,0,1.648819883,1
COc1cc(C(=O)O)cc2c1[nH]c1ccccc12,0.9999835,0.84922665,0.92141175,0.8779006,0.6797407,0.7567763,0.8475065833333334,16068,0,1.939210901,1
CCCCCCCC(=O)OCCCC,0.999983,0.99998266,0.78585076,0.8106673,0.5050452,0.71196246,0.8022485633333333,16519,0,1.668461651,1
COc1cc(O)cc(-c2ccc(O)c(O)c2)c1,0.99999565,1.0,1.0,0.96344274,0.94719285,0.9781249,0.9814593566666666,16584,0,1.985291786,1
COc1ccc(CCc2ccc(OC)c(OC)c2)cc1O,0.99999064,0.9999542,0.99999017,0.97892094,0.8348574,0.9081437,0.9536428416666666,16799,0,1.747127062,1
C/C=C/c1ccc(OC(C)=O)c(OC)c1,0.9999981,0.99999446,0.9999979,0.98626536,0.822141,0.94035864,0.95812591,16936,0,1.960048316,1
CCCCCCCCCCOC(C)=O,0.9999955,0.9999995,0.78585076,0.81647617,0.55136985,0.71196246,0.8109423733333333,17997,0,1.691190645,1
COc1ccc2c(=O)cc(-c3ccccc3)n(C)c2c1,0.9991226,1.0,0.757871,0.75906044,0.6792755,0.8018694,0.8328664899999999,18041,0,1.929608103,1
COc1ccc(C(C)=O)cc1O,0.99994963,0.9995956,0.9979016,0.9387986,0.6267728,0.83161384,0.8991053450000002,18210,0,1.620744446,1
COc1ccccc1CCc1cc(O)cc(O)c1,0.99999934,0.9999617,1.0,0.9873839,0.7993016,0.980665,0.96121859,18303,0,1.91467063,1
COc1ccc(C(=O)/C=C/c2ccc(O)cc2)c(O)c1,0.9999998,1.0,1.0,0.9979386,0.9873767,0.9874062,0.9954535499999998,18565,0,1.961012499,1
CNc1ccc(-c2nc(=O)c3ccccc3[nH]2)cc1,0.93343925,0.99903756,0.59104496,0.81910896,0.61019355,0.59841746,0.75854029,18714,0,1.879510762,1
COc1ccc(/C=C/C(C)=O)cc1,0.9999998,1.0,0.9999996,0.98191285,0.8557968,0.9771194,0.969138075,19010,0,1.704478212,1
COc1ccc(C=CC(=O)O)cc1,0.99999994,1.0,0.9998351,0.99153537,0.8853011,0.92707795,0.9672915766666667,19186,0,1.584082058,1
COc1cc(/C=C/C(=O)CCCCc2ccccc2)ccc1O,0.9999998,1.0,1.0,0.9971451,0.9303481,0.9864586,0.9856585999999999,19206,0,1.964216696,1
COc1ccc(/C=C/C(=O)O)cc1O,0.99999976,1.0,0.99999994,0.9943218,0.95775175,0.97277063,0.98747398,19931,0,1.909676132,1
