rgroup_label,clean_smi,mean_shap,effect
R5,ClCCCCCS,0.00016489407751470002,Positive
R6,CN(N)CC(O),0.00015421305505975,Positive
R2,CCC(=O),0.00016078741472565,Positive
R1,O=C(CCl),0.00014342797145179998,Positive
R5,CCCCCCNC(=O)O,0.00015338255331539998,Positive
R2,CC(C)(C)NC(=O)N,0.0001617414833333,Positive
R3,CCN(CC)CCCO,0.0001412800982505,Positive
R6,CCCCCCN(C(=O)CCl),0.0001408258575091,Positive
R1,N#CSCC(=O),0.00018465462615365,Positive
R3,O=[N+]([O-]),0.00014820236716699998,Positive
R6,CCN(CC)C(=O)CSC(N)=C(C#N)C#N,0.00015420682044955,Positive
R3,CCCCCC(=O)NNC(=S)NC(=O),0.0001623136132543,Positive
R3,COCCNC(=S)N,0.00016775322034685,Positive
R1,N#CCC,0.0001501377749173,Positive
R6,C=CC(C)(C),0.0001571749177856,Positive
R1,COC(C)[C@@](C)(O)C,0.00017924478302155,Positive
R2,CC(=O)OCC(=O).CC(=O)O,0.00014782457358845,Positive
R1,C/C(=C\CO)[C@H](O)C,0.00015266556881665,Positive
R1,CC(C)=CC,0.00015599318475675,Positive
R2,CCNC(=O)N,0.00016069689501615,Positive
R3,NNCC(O),0.00013942952311125,Positive
R3,CCNS(=O)(=O),0.00013961650700885,Positive
R2,NC(=O)N,0.0001527113780342,Positive
R8,O=C(O),0.00013569422131915,Positive
R2,CCN(C)C(=O)N,0.0001409616395418,Positive
R2,C=CCS(=O)(=O),0.0001510767929617,Positive
R6,NNCC,0.00013755240420395,Positive
R3,C=CC(C)(C)O,0.00016771595823905,Positive
R3,CCOC(CO),0.00014185881442344998,Positive
R5,CSC(=NNC(=O))SC,0.00016413452556350003,Positive
R7,CC(C)=CC,0.00014649869325265,Positive
R3,C/C(O)=C(\C#N)C(=O)N,0.00014568501707435002,Positive
R3,COC(CN(C)N),0.00015676306538785,Positive
R1,C=C/C(C)=C\C,0.00016864982493515,Positive
R1,O=N,0.00013806477870740002,Positive
R3,CC(C)=CC,0.000138766092627,Positive
R2,CCCCC(S)C(=O)O,0.0001556472538554,Positive
R1,CCOC(C)(C)[C@@H](O)C,0.0001522353276948,Positive
R1,O=[N+]([O-]),0.0001538956649691,Positive
R5,CCCCNC(=S)N,0.00016793240931695,Positive
