rgroup_label,rgroup_smiles,active_count,inactive_count,enrichment_score
R2,CC(C)(C)NC(=O)N[*:2],1,0,inf
R2,CC(=O)N(CC(C)C(=O)O)[*:2],1,0,inf
R2,CC(=O)OCC(=O)[*:2].CC(=O)O[*:2],1,0,inf
R2,CC(=O)OCC(=O)[*:2].CCCC(=O)O[*:2],1,0,inf
R2,CC(=O)OCC(=O)[*:2].O[*:2],3,0,inf
R6,CC[C@@H]([C@H](O)[*:6])N(C)N,1,0,inf
R6,CCOC(=O)/C=C(\C)S[*:6],1,0,inf
R6,CCOC(=O)C(=C[*:6])C(=O)OCC,1,0,inf
R6,CCOC(=O)C(C[*:6])NC(C)=O,1,0,inf
R6,CCC[C@@H]([C@H](O)[*:6])N(C)N,1,0,inf
R6,CCN(CC)C(=O)CSC(N[*:6])=C(C#N)C#N,1,0,inf
R6,CCN(CC)CCNS(=O)(=O)[*:6],1,0,inf
R6,CCN(N)CC[*:6],1,0,inf
R6,CCNC(=S)NNC(=O)C[*:6],1,0,inf
R6,CCNNC(=O)[*:6],2,0,inf
R6,CCCCOCCCNC(=O)CCCO[*:6],1,0,inf
R6,CCCCO[*:6],2,0,inf
R6,CCCNC(=S)N[*:6],1,0,inf
R2,CCCCCCS[*:2],1,0,inf
R2,CCCCCO[*:2],1,0,inf
R2,CCCCC[*:2],1,0,inf
R2,CCCCNC(=O)N[*:2],1,0,inf
R2,CCCCN[*:2],1,0,inf
R2,CCCNC(=O)N[*:2],1,0,inf
R2,CCCO[*:2],2,0,inf
R2,CCCCC(S[*:2])C(=O)O,1,0,inf
R2,CCCCC/C=C/C/C=C\CCCCCCCC(=O)OC[*:2],1,0,inf
R2,CCCCCC(=O)N/N=C/[*:2],1,0,inf
R2,CCCCCCCCCCCCCCCCCC(=O)OC[*:2],1,0,inf
R2,CCC(=O)OCC(=O)[*:2].CCC(=O)O[*:2],1,0,inf
R2,CCC(=O)O[*:2].O=C(CCl)[*:2],1,0,inf
R2,CCC(=O)[*:2],2,0,inf
R2,CCC(C)N[*:2],1,0,inf
R2,CCC(C)S[*:2],1,0,inf
R2,CCCC(=O)[*:2],2,0,inf
R2,CC(C)NC(=O)[*:2],1,0,inf
R2,CC(O)[*:2],2,0,inf
R6,CCCCC(=O)NNC(=S)NC(=O)[*:6],1,0,inf
R6,CCCCCCCCCCCC(=O)[*:6],1,0,inf
R6,CCCCCCCCNC(=O)[*:6],1,0,inf
R6,CCCCCCN(C(=O)CCl)[*:6],1,0,inf
R6,CCC(=O)NCCO[*:6],1,0,inf
R6,CCC(C(=O)OC)[*:6],1,0,inf
R6,CCC(C)(CC(=O)N(C)CCC#N)[*:6],1,0,inf
R6,CCC(C)NC(=O)N[C@@H](C[*:6])C(=O)O,1,0,inf
R6,CCCCC(=O)NC(=S)NNC(=O)CC[*:6],1,0,inf
R6,CC(CN(C)N)[*:6],1,0,inf
R6,CC(CNN)[*:6],1,0,inf
R6,CC(C)CN(N)CC(O)[*:6],1,0,inf
R6,CC(C)CN(N)CC[*:6],1,0,inf
R6,CC(C)CN=C(NS(=O)(=O)[*:6])C(Cl)(Cl)Cl,1,0,inf
R6,CC(C)CNC(=O)[*:6],1,0,inf
R6,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC[*:6],1,0,inf
R6,CC(C)N=C(NS(=O)(=O)[*:6])C(Cl)(Cl)Cl,1,0,inf
R2,CN(C)S(=O)(=O)N[*:2],1,0,inf
R2,CN(C)[*:2],1,0,inf
R2,CN(S(C)(=O)=O)[*:2],1,0,inf
R2,CNC(=O)N[*:2],1,0,inf
R2,CNC(=O)[*:2],1,0,inf
R2,CNS(=O)(=O)[*:2],1,0,inf
R2,CN[*:2],9,0,inf
R2,CCOC(=O)C(C)[*:2],1,0,inf
R2,CCOCCO[*:2],1,0,inf
R2,CCN(C)C(=O)N[*:2],1,0,inf
R2,CCN(CC)C(=O)N[*:2],1,0,inf
R2,CCN(CC)C[*:2],1,0,inf
R2,CCNC(=O)N[*:2],1,0,inf
R6,CC(C)(C)C(=O)NC(=S)NNC(=O)CO[*:6],1,0,inf
R6,CC(C)(C)SCCNC(=O)[*:6],1,0,inf
R6,CC(C)(C)[*:6],12,0,inf
R6,CC(C)(O)[*:6],2,0,inf
R6,CC(C)C(=O)NCC[*:6],1,0,inf
R6,CC(=O)[*:6],3,0,inf
R6,C/C(=N\O)C(C)(C)N[*:6],1,0,inf
R6,C=C(CN(C)C)C(=O)[*:6],1,0,inf
R6,C=CC(C)(C)[*:6],1,0,inf
R5,OC[C@@H](O)CO[*:5],2,0,inf
R5,[O-][*:5],11,0,inf
R2,CSCCCO[*:2],1,0,inf
R2,C[*:2].C[*:2],2,0,inf
R2,COCO[*:2],1,0,inf
R2,COC[*:2],1,0,inf
R2,CS(=O)(=O)CC(=O)[*:2],1,0,inf
R2,CS(=O)(=O)CCCO[*:2],1,0,inf
R2,CS(=O)(=O)CC[*:2],1,0,inf
R2,COCCCO[*:2],1,0,inf
R2,COCCC[*:2],1,0,inf
R2,COCC[*:2],1,0,inf
R2,COC(=O)/C=C/NC(=O)[*:2],1,0,inf
R2,COC(=O)/C=C\NC(=O)[*:2],2,0,inf
R2,COC(=O)CC(=O)OC[*:2],1,0,inf
R5,O=S(=O)(C(F)(F)F)[*:5],1,0,inf
R5,O=S(=O)(NCCO)[*:5],1,0,inf
R5,O=S(=O)(N[*:5])C(F)(F)F,1,0,inf
R5,OC(C(F)(F)F)(C(F)(F)F)[*:5],1,0,inf
R5,O=C(O)CCCO[*:5],1,0,inf
R5,O=C(O)CS[*:5],5,0,inf
R5,O=C[*:5],1,0,inf
R5,O=C(CO)O[*:5],1,0,inf
R5,FC(F)O[*:5],21,0,inf
R5,I[*:5],1,0,inf
R5,N#C/C(=C\[*:5])C(N)=O,1,0,inf
R5,N#C[*:5],4,0,inf
R5,N/C(=C\C(=O)[*:5])C(Cl)(Cl)Cl,1,0,inf
R5,N=C(N)SC[*:5],1,0,inf
R2,O=C(NO)[*:2],1,0,inf
R2,O=C(N[*:2])C(Cl)(Cl)Cl,1,0,inf
R2,O=C(O)/C=C/[*:2],1,0,inf
R2,O=C(O)C(O)[*:2],1,0,inf
R2,O=C(O)CCCNC(=O)/C=C/[*:2],1,0,inf
R2,NS(=O)(=O)[*:2],19,0,inf
R2,O=C(CO)[*:2],1,0,inf
R2,O=C(CO)[*:2].O[*:2],4,0,inf
R2,NC(=O)C[*:2],1,0,inf
R2,NC(=O)N[*:2],1,0,inf
R2,NC(=O)[*:2],4,0,inf
R2,NC(=S)[*:2],1,0,inf
R2,FC(F)(F)CS[*:2],1,0,inf
R2,FC(F)(F)O[*:2],2,0,inf
R2,N#C/C(C(=O)N[*:2])=C(/N)C(Cl)(Cl)Cl,1,0,inf
R2,N#CCCS[*:2],1,0,inf
R2,N#CCC[*:2],1,0,inf
R5,CS[*:5],3,0,inf
R5,ClCCCCCS[*:5],1,0,inf
R5,FC(F)(F)O[*:5],1,0,inf
R5,CS(=O)(=O)NCCO[*:5],1,0,inf
R5,CSC(=NNC(=O)[*:5])SC,1,0,inf
R5,CSC(SC)=C(C#N)C(=O)[*:5],1,0,inf
R5,COC(=O)CC/C(C)=C/CC/C(C)=C/C[*:5],1,0,inf
R5,COC(=O)[*:5],2,0,inf
R5,COC(CN(C)N)[*:5],1,0,inf
R5,COCCCNC(CC(=O)N[*:5])C(=O)O,1,0,inf
R5,COCCNC(=O)[*:5],1,0,inf
R5,CN(C)/C=C/[*:5],1,0,inf
R5,CN(C)C(=O)O[*:5],1,0,inf
R5,CN(C)CCO[*:5],5,0,inf
R5,CN(C)S(=O)(=O)[*:5],1,0,inf
R5,CN(N)CC(O)[*:5],1,0,inf
R5,CN(N)CC[*:5],4,0,inf
R5,CNC(=O)[*:5],8,0,inf
R3,C/C(Cl)=C\C[*:3],1,0,inf
R3,C/C(O)=C(\C#N)C(=O)N[*:3],1,0,inf
R3,C/C=C(/C)C(=O)O[C@@H](C)[*:3],1,0,inf
R3,C/C=C(/C=O)[C@@H](CC=O)CC(=O)OCC[*:3],1,0,inf
R3,C/C=C/[*:3],2,0,inf
R3,C=C(C)C(O)C[*:3],1,0,inf
R3,C/C(=C\CO[*:3])CO,1,0,inf
R3,C/C(=N\O)C(C)(C)N[*:3],1,0,inf
R2,O=[N+]([O-])/C=C/[*:2],1,0,inf
R2,OC/C=C\[*:2],1,0,inf
R2,OCCC[*:2],1,0,inf
R2,OCC[*:2],1,0,inf
R2,O=C(O)C[*:2],1,0,inf
R5,CCN[*:5],1,0,inf
R5,CCSC[*:5],1,0,inf
R5,CCN(CC)C(=O)CSC(N[*:5])=C(C#N)C#N,1,0,inf
R5,CCN(CC)CC(=O)N[*:5],1,0,inf
R5,CCN(CC)C[*:5],1,0,inf
R5,CCN(CC)S(=O)(=O)[*:5],1,0,inf
R5,CCCCNC(=O)O[*:5],1,0,inf
R5,CCCCNC(=S)N[*:5],1,0,inf
R5,CCCC[*:5],1,0,inf
R5,CCCCCCCCNC(=O)O[*:5],1,0,inf
R5,CCCCCCCN(C(=O)CCl)[*:5],1,0,inf
R5,CCCCCCCNC(=O)O[*:5],1,0,inf
R5,CCCCCCNC(=O)N[*:5],1,0,inf
R5,CCCCCCOC(=O)N[*:5],1,0,inf
R5,CCCCCNC(=O)O[*:5],1,0,inf
R5,CCC(C)[*:5],1,0,inf
